scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Aechmophorus occidentalis,Western Grebe,WEGR,Grèbe élégant,,Aechmophorus
Aechmophorus clarkii,Clark's Grebe,CLGR,Grèbe à face blanche,,Aechmophorus
Podiceps grisegena,Red-necked Grebe,RNGR,Grèbe jougris,,Podiceps
Podiceps auritus,Horned Grebe,HOGR,Grèbe esclavon,Québec,Podiceps
Podiceps nigricollis,Eared Grebe,EAGR,Grèbe à cou noir,,Podiceps
Tachybaptus dominicus,Least Grebe,LEGR,Grèbe minime,,Tachybaptus
Podilymbus podiceps,Pied-billed Grebe,PBGR,Grèbe à bec bigarré,,Podilymbus
Gavia immer,Common Loon,COLO,Plongeon huard,,Gavia
Gavia adamsii,Yellow-billed Loon,YBLO,Plongeon à bec blanc,,Gavia
Gavia arctica,Arctic Loon,ARLO,Plongeon arctique,,Gavia
Gavia pacifica,Pacific Loon,PALO,Plongeon du Pacifique,,Gavia
Gavia stellata,Red-throated Loon,RTLO,Plongeon catmarin,,Gavia
Fratercula cirrhata,Tufted Puffin,TUPU,Macareux huppé,,Fratercula
Fratercula arctica,Atlantic Puffin,ATPU,Macareux moine,,Fratercula
Fratercula corniculata,Horned Puffin,HOPU,Macareux cornu,,Fratercula
Cerorhinca monocerata,Rhinoceros Auklet,RHAU,Macareux rhinocéros,,Cerorhinca
Ptychoramphus aleuticus,Cassin's Auklet,CAAU,Starique de Cassin,,Ptychoramphus
Aethia psittacula,Parakeet Auklet,PAAU,Starique perroquet,,Aethia
Aethia cristatella,Crested Auklet,CRAU,Starique cristatelle,,Aethia
Aethia pygmaea,Whiskered Auklet,WHAU,Starique pygmée,,Aethia
Aethia pusilla,Least Auklet,LEAU,Starique minuscule,,Aethia
Synthliboramphus antiquus,Ancient Murrelet,ANMU,Guillemot à cou blanc,,Synthliboramphus
Brachyramphus marmoratus,Marbled Murrelet,MAMU,Guillemot marbré,Y,Brachyramphus
Brachyramphus perdix,Long-billed Murrelet,LBMU,Guillemot à long bec,,Brachyramphus
Brachyramphus marmoratus,Alaska Marbled Murrelet,AMMU,Guillemot marbré de l'Alaska,,Brachyramphus
Brachyramphus brevirostris,Kittlitz's Murrelet,KIMU,Guillemot de Kittlitz,,Brachyramphus
Synthliboramphus scrippsi,Scripps's Murrelet,SCMU,Guillemot de Scripps,,Synthliboramphus
Synthliboramphus hypoleucus,Guadalupe Murrelet,GUMU,Guillemot de Xantus,,Synthliboramphus
Synthliboramphus craveri,Craveri's Murrelet,CRMU,Guillemot de Craveri,,Synthliboramphus
Cepphus grylle,Black Guillemot,BLGU,Guillemot à miroir,,Cepphus
Cepphus columba,Pigeon Guillemot,PIGU,Guillemot colombin,,Cepphus
Uria aalge,Common Murre,COMU,Guillemot marmette,,Uria
Uria lomvia,Thick-billed Murre,TBMU,Guillemot de Brünnich,,Uria
Alca torda,Razorbill,RAZO,Petit Pingouin,,Alca
Alle alle,Dovekie,DOVE,Mergule nain,,Alle
Stercorarius skua,Great Skua,GRSK,Grand Labbe,,Stercorarius
Stercorarius maccormicki,South Polar Skua,SPSK,Labbe de McCormick,,Stercorarius
Stercorarius pomarinus,Pomarine Jaeger,POJA,Labbe pomarin,,Stercorarius
Stercorarius parasiticus,Parasitic Jaeger,PAJA,Labbe parasite,,Stercorarius
Stercorarius longicaudus,Long-tailed Jaeger,LTJA,Labbe à longue queue,,Stercorarius
Pagophila eburnea,Ivory Gull,IVGU,Mouette blanche,Newfoundland and Labrador Northwest Territories Nunavut,Pagophila
Leucophaeus scoresbii,Dolphin Gull,DOGU,Goéland de Scoresby,,Leucophaeus
Rissa tridactyla,Black-legged Kittiwake,BLKI,Mouette tridactyle,,Rissa
Rissa brevirostris,Red-legged Kittiwake,RLKI,Mouette des brumes,,Rissa
Larus hyperboreus,Glaucous Gull,GLGU,Goéland bourgmestre,,Larus
Larus glaucoides,Iceland Gull,ICGU,Goéland arctique,,Larus
Larus glaucoides thayeri,Thayer's Gull,THGU,Goéland de Thayer,,Larus
Larus glaucescens,Glaucous-winged Gull,GWGU,Goéland à ailes grises,,Larus
Larus marinus,Great Black-backed Gull,GBBG,Goéland marin,,Larus
Larus schistisagus,Slaty-backed Gull,SBGU,Goéland à manteau ardoisé,,Larus
Larus occidentalis,Western Gull,WEGU,Goéland d'Audubon,,Larus
Larus livens,Yellow-footed Gull,YFGU,Goéland de Cortez,,Larus
Larus fuscus,Lesser Black-backed Gull,LBBG,Goéland brun,,Larus
Larus argentatus,Herring Gull,HERG,Goéland argenté,,Larus
Larus californicus,California Gull,CAGU,Goéland de Californie,,Larus
Larus delawarensis,Ring-billed Gull,RBGU,Goéland à bec cerclé,,Larus
Larus belcheri,Belcher's Gull,BEGU,Goéland siméon,,Larus
Chroicocephalus ridibundus,Black-headed Gull,BHGU,Mouette rieuse,,Chroicocephalus
Larus canus,Common Gull,COGU,Goéland cendré,,Larus
Larus brachyrhynchus,Short-billed Gull,SHOG,Goéland à bec court,,Larus
Larus heermanni,Heermann's Gull,HEEG,Goéland de Heermann,,Larus
Leucophaeus atricilla,Laughing Gull,LAGU,Mouette atricille,,Leucophaeus
Leucophaeus pipixcan,Franklin's Gull,FRGU,Mouette de Franklin,,Leucophaeus
Chroicocephalus philadelphia,Bonaparte's Gull,BOGU,Mouette de Bonaparte,,Chroicocephalus
Hydrocoloeus minutus,Little Gull,LIGU,Mouette pygmée,,Hydrocoloeus
Rhodostethia rosea,Ross's Gull,ROGU,Mouette rosée,Manitoba Nunavut,Rhodostethia
Xema sabini,Sabine's Gull,SAGU,Mouette de Sabine,,Xema
Gelochelidon nilotica,Gull-billed Tern,GBTE,Sterne hansel,,Gelochelidon
Hydroprogne caspia,Caspian Tern,CATE,Sterne caspienne,,Hydroprogne
Thalasseus maximus,Royal Tern,ROYT,Sterne royale,,Thalasseus
Thalasseus bergii,Great Crested Tern,GCTE,Sterne huppée,,Thalasseus
Thalasseus elegans,Elegant Tern,ELTE,Sterne élégante,,Thalasseus
Thalasseus sandvicensis,Sandwich Tern,SATE,Sterne caugek,,Thalasseus
Thalasseus acuflavidus eurygnathus,Cayenne Tern,CAYT,Sterne de Cayenne,,Thalasseus
Sterna forsteri,Forster's Tern,FOTE,Sterne de Forster,,Sterna
Sterna hirundo,Common Tern,COTE,Sterne pierregarin,,Sterna
Sterna paradisaea,Arctic Tern,ARTE,Sterne arctique,,Sterna
Sterna dougallii,Roseate Tern,ROST,Sterne de Dougall,Y,Sterna
Onychoprion aleuticus,Aleutian Tern,ALTE,Sterne des Aléoutiennes,,Onychoprion
Sterna sumatrana,Black-naped Tern,BNTE,Sterne diamant,,Sterna
Sternula antillarum,Least Tern,LETE,Petite Sterne,,Sternula
Sternula albifrons,Little Tern,LITE,Sterne naine,,Sternula
Sternula antillarum athalassos,Interior Least Tern,ILTE,Petite Sterne (intérieure),,Sternula
Sternula antillarum browni,California Least Tern,CLTE,Petite Sterne (Californie),Y,Sternula
Onychoprion fuscatus,Sooty Tern,SOTE,Sterne fuligineuse,,Onychoprion
Onychoprion anaethetus,Bridled Tern,BRTE,Sterne bridée,,Onychoprion
Onychoprion lunatus,Gray-backed Tern,GRAT,Sterne à dos gris,,Onychoprion
Chlidonias niger,Black Tern,BLTE,Guifette noire,,Chlidonias
Chlidonias leucopterus,White-winged Tern,WWTE,Guifette leucoptère,,Chlidonias
Chlidonias hybrida,Whiskered Tern,WHIT,Guifette moustac,,Chlidonias
Anous stolidus,Brown Noddy,BRNO,Noddi brun,,Anous
Anous minutus,Black Noddy,BLNO,Noddi noir,,Anous
Anous ceruleus,Blue-gray Noddy,BGNO,Noddi bleu,,Anous
Gygis alba,White Tern,WHTE,Gygis blanche,,Gygis
Rynchops niger,Black Skimmer,BLSK,Bec-en-ciseaux noir,,Rynchops
Phoebastria nigripes,Black-footed Albatross,BFAL,Albatros à pieds noirs,,Phoebastria
Diomedea exulans,Wandering Albatross,WAAL,Albatros hurleur,,Diomedea
Phoebastria albatrus,Short-tailed Albatross,STAL,Albatros à queue courte,Y,Phoebastria
Phoebastria immutabilis,Laysan Albatross,LAAL,Albatros de Laysan,,Phoebastria
Thalassarche melanophris,Black-browed Albatross,BBAL,Albatros à sourcils noirs,,Thalassarche
Thalassarche cauta,White-capped Albatross,WCAL,Albatros à cape blanche,,Thalassarche
Phoebastria irrorata,Waved Albatross,WAVA,Albatros des Galapagos,,Phoebastria
Thalassarche chlororhynchos,Yellow-nosed Albatross,YNAL,Albatros à nez jaune,,Thalassarche
Fulmarus glacialis,Northern Fulmar,NOFU,Fulmar boréal,,Fulmarus
Calonectris leucomelas,Streaked Shearwater,STRS,Puffin leucomèle,,Calonectris
Calonectris borealis,Cory's Shearwater,COSH,Puffin cendré,,Calonectris
Calonectris diomedea,Scopoli's Shearwater,SCSH,,,Calonectris
Ardenna gravis,Great Shearwater,GRSH,Puffin majeur,,Ardenna
Puffinus puffinus,Manx Shearwater,MASH,Puffin des Anglais,,Puffinus
Ardenna creatopus,Pink-footed Shearwater,PFSH,Puffin à pieds roses,British Columbia,Ardenna
Puffinus lherminieri,Sargasso Shearwater,SASH,Puffin d'Audubon,,Puffinus
Puffinus assimilis,Little Shearwater,LISH,Petit Puffin,,Puffinus
Puffinus bailloni,Tropical Shearwater,TRSH,Puffin de Baillon,,Puffinus
Puffinus opisthomelas,Black-vented Shearwater,BVSH,Puffin cul-noir,,Puffinus
Puffinus auricularis,Townsend's Shearwater,TOSH,Puffin de Townsend,,Puffinus
Puffinus newelli,Newell's Shearwater,NESH,Puffin de Newell,Y,Puffinus
Ardenna grisea,Sooty Shearwater,SOSH,Puffin fuligineux,,Ardenna
Ardenna carneipes,Flesh-footed Shearwater,FFSH,Puffin à pieds pâles,,Ardenna
Ardenna tenuirostris,Short-tailed Shearwater,SHOS,Puffin à bec grêle,,Ardenna
Ardenna pacifica,Wedge-tailed Shearwater,WTSH,Puffin fouquet,,Ardenna
Ardenna bulleri,Buller's Shearwater,BULS,Puffin de Buller,,Ardenna
Puffinus nativitatis,Christmas Shearwater,CHSH,Puffin de la Nativité,,Puffinus
Pterodroma hasitata,Black-capped Petrel,BCPE,Pétrel diablotin,Y,Pterodroma
Pterodroma cookii,Cook's Petrel,COPE,Pétrel de Cook,,Pterodroma
Pterodroma sandwichensis,Hawaiian Petrel,HAPE,Pétrel des Hawaï,Y,Pterodroma
Pterodroma arminjoniana,Trindade Petrel,TRPE,Pétrel de Trindade,,Pterodroma
Pterodroma externa,Juan Fernandez Petrel,JFPE,Pétrel de Juan Fernandez,,Pterodroma
Pterodroma alba,Phoenix Petrel,PHPE,Pétrel à poitrine blanche,,Pterodroma
Pterodroma inexpectata,Mottled Petrel,MOPE,Pétrel maculé,,Pterodroma
Pterodroma hypoleuca,Bonin Petrel,BOPE,Pétrel des Bonin,,Pterodroma
Pterodroma nigripennis,Black-winged Petrel,BWPE,Pétrel à ailes noires,,Pterodroma
Pterodroma ultima,Murphy's Petrel,MUPE,Pétrel de Murphy,,Pterodroma
Pterodroma longirostris,Stejneger's Petrel,STPE,Pétrel de Stejneger,,Pterodroma
Pseudobulweria rostrata,Tahiti Petrel,TAPE,Pétrel de Tahiti,,Pseudobulweria
Bulweria bulwerii,Bulwer's Petrel,BUPE,Pétrel de Bulwer,,Bulweria
Daption capense,Cape Petrel,CAPE,Damier du Cap,,Daption
Hydrobates microsoma,Least Storm-Petrel,LTSP,Océanite minute,,Hydrobates
Hydrobates furcatus,Fork-tailed Storm-Petrel,FTSP,Océanite à queue fourchue,,Hydrobates
Hydrobates leucorhous,Leach's Storm-Petrel,LHSP,Océanite cul-blanc,,Hydrobates
Hydrobates castro,Band-rumped Storm-Petrel,BANP,Océanite de Castro,Y,Hydrobates
Hydrobates tethys,Wedge-rumped Storm-Petrel,WRSP,Océanite téthys,,Hydrobates
Hydrobates melania,Black Storm-Petrel,BLSP,Océanite noir,,Hydrobates
Hydrobates tristrami,Tristram's Storm-Petrel,TRSP,Océanite de Tristram,,Hydrobates
Hydrobates homochroa,Ashy Storm-Petrel,ASSP,Océanite cendré,,Hydrobates
Oceanites oceanicus,Wilson's Storm-Petrel,WISP,Océanite de Wilson,,Oceanites
Nesofregetta fuliginosa,White-throated Storm-Petrel,WHSP,Océanite à gorge blanche,,Nesofregetta
Pelagodroma marina,White-faced Storm-Petrel,WFSP,Océanite frégate,,Pelagodroma
Phaethon lepturus,White-tailed Tropicbird,WTTR,Phaéton à bec jaune,,Phaethon
Phaethon aethereus,Red-billed Tropicbird,RBTR,Phaéton à bec rouge,,Phaethon
Phaethon rubricauda,Red-tailed Tropicbird,RTTR,Phaéton à brins rouges,,Phaethon
Sula dactylatra,Masked Booby,MABO,Fou masqué,,Sula
Sula nebouxii,Blue-footed Booby,BFBO,Fou à pieds bleus,,Sula
Sula granti,Nazca Booby,NABO,Fou de Grant,,Sula
Sula ​​leucogaster,Brown Booby,BRBO,Fou brun,,Sula
Sula ​​brewsteri,Cocos Booby,COBO,,,Sula
Sula sula,Red-footed Booby,RFBO,Fou à pieds rouges,,Sula
Morus bassanus,Northern Gannet,NOGA,Fou de Bassan,,Morus
Anhinga anhinga,Anhinga,ANHI,Anhinga d'Amérique,,Anhinga
Phalacrocorax carbo,Great Cormorant,GRCO,Grand Cormoran,,Phalacrocorax
Nannopterum auritum,Double-crested Cormorant,DCCO,Cormoran à aigrettes,,Nannopterum
Leucocarbo bougainvillii,Guanay Cormorant,GUCO,Cormoran de Bougainville,,Leucocarbo
Nannopterum brasilianum,Neotropic Cormorant,NECO,Cormoran vigua,,Nannopterum
Urile penicillatus,Brandt's Cormorant,BRAC,Cormoran de Brandt,,Urile
Urile pelagicus,Pelagic Cormorant,PECO,Cormoran pélagique,,Urile
Urile urile,Red-faced Cormorant,RFCO,Cormoran à face rouge,,Urile
Pelecanus erythrorhynchos,American White Pelican,AWPE,Pélican d'Amérique,,Pelecanus
Pelecanus occidentalis,Brown Pelican,BRPE,Pélican brun,,Pelecanus
Fregata magnificens,Magnificent Frigatebird,MAFR,Frégate superbe,,Fregata
Fregata minor,Great Frigatebird,GRFR,Frégate du Pacifique,,Fregata
Fregata ariel,Lesser Frigatebird,LEFR,Frégate ariel,,Fregata
Mergus merganser,Common Merganser,COME,Grand Harle,,Mergus
Mergus serrator,Red-breasted Merganser,RBME,Harle huppé,,Mergus
Lophodytes cucullatus,Hooded Merganser,HOME,Harle couronné,,Lophodytes
Anas platyrhynchos,Mallard,MALL,Canard colvert,,Anas
Anas wyvilliana,Hawaiian Duck,HAWD,Canard des Hawaï,Y,Anas
Anas laysanensis,Laysan Duck,LADU,Canard de Laysan,Y,Anas
Anas rubripes,American Black Duck,ABDU,Canard noir,,Anas
Anas diazi,Mexican Duck,MEDU,Canard du Mexique,,Anas
Anas superciliosa,Pacific Black Duck,PBDU,Canard à sourcils,,Anas
Anas fulvigula,Mottled Duck,MODU,Canard brun,,Anas
Mareca strepera,Gadwall,GADW,Canard chipeau,,Mareca
Mareca penelope,Eurasian Wigeon,EUWI,Canard siffleur,,Mareca
Mareca americana,American Wigeon,AMWI,Canard d'Amérique,,Mareca
Mareca falcata,Falcated Duck,FADU,Canard à faucilles,,Mareca
Anas crecca crecca,European Green-winged Teal,EGWT,Sarcelle d'hiver (nominal),,Anas
Anas crecca,Green-winged Teal,AGWT,Sarcelle d'hiver,,Anas
Sibirionetta formosa,Baikal Teal,BATE,Sarcelle élégante,,Sibirionetta
Spatula querquedula,Garganey,GARG,Sarcelle d'été,,Spatula
Spatula discors,Blue-winged Teal,BWTE,Sarcelle à ailes bleues,,Spatula
Spatula cyanoptera,Cinnamon Teal,CITE,Sarcelle cannelle,,Spatula
Spatula clypeata,Northern Shoveler,NSHO,Canard souchet,,Spatula
Anas acuta,Northern Pintail,NOPI,Canard pilet,,Anas
Anas bahamensis,White-cheeked Pintail,WHIP,Canard des Bahamas,,Anas
Aix sponsa,Wood Duck,WODU,Canard branchu,,Aix
Cairina moschata,Muscovy Duck,MUDU,Canard musqué,,Cairina
Aythya americana,Redhead,REDH,Fuligule à tête rouge,,Aythya
Aythya ferina,Common Pochard,CPOC,Fuligule milouin,,Aythya
Aythya valisineria,Canvasback,CANV,Fuligule à dos blanc,,Aythya
Aythya marila,Greater Scaup,GRSC,Fuligule milouinan,,Aythya
Aythya affinis,Lesser Scaup,LESC,Petit Fuligule,,Aythya
Aythya fuligula,Tufted Duck,TUDU,Fuligule morillon,,Aythya
Aythya collaris,Ring-necked Duck,RNDU,Fuligule à collier,,Aythya
Bucephala clangula,Common Goldeneye,COGO,Garrot à oeil d'or,,Bucephala
Bucephala islandica,Barrow's Goldeneye,BAGO,Garrot d'Islande,,Bucephala
Bucephala albeola,Bufflehead,BUFF,Petit Garrot,,Bucephala
Clangula hyemalis,Long-tailed Duck,LTDU,Harelde kakawi,,Clangula
Histrionicus histrionicus,Harlequin Duck,HARD,Arlequin plongeur,,Histrionicus
Polysticta stelleri,Steller's Eider,STEI,Eider de Steller,Y,Polysticta
Somateria fischeri,Spectacled Eider,SPEI,Eider à lunettes,Y,Somateria
Somateria mollissima,Common Eider,COEI,Eider à duvet,,Somateria
Somateria spectabilis,King Eider,KIEI,Eider à tête grise,,Somateria
Melanitta americana,Black Scoter,BLSC,Macreuse à bec jaune,,Melanitta
Melanitta deglandi,White-winged Scoter,WWSC,Macreuse brune,,Melanitta
Melanitta perspicillata,Surf Scoter,SUSC,Macreuse à front blanc,,Melanitta
Oxyura jamaicensis,Ruddy Duck,RUDU,Érismature rousse,,Oxyura
Nomonyx dominicus,Masked Duck,MADU,Érismature routoutou,,Nomonyx
Anser caerulescens caerulescens,Lesser Snow Goose,LSGO,Oie des neiges (Petite),,Anser
Anser caerulescens,Blue Goose,BLGO,Oie des neiges (Phase bleue),,Anser
Anser caerulescens atlantica,Greater Snow Goose,GSGO,Oie des neiges (Grande),,Anser
Anser rossii,Ross's Goose,ROGO,Oie de Ross,,Anser
Anser albifrons,Greater White-fronted Goose,GWFG,Oie rieuse,,Anser
Anser fabalis,Taiga Bean-Goose,TABG,Oie des moissons,,Anser
Anser brachyrhynchus,Pink-footed Goose,PFGO,Oie à bec court,,Anser
Anser erythropus,Lesser White-fronted Goose,LWFG,Oie naine,,Anser
Anser albifrons elgasi,Tule White-fronted Goose,TWFG,Oie rieuse,,Anser
Branta canadensis,Canada Goose,CAGO,Bernache du Canada,,Branta
Branta hutchinsii leucopareia,Aleutian Cackling Goose,ACGO,Bernache de Hutchins des Aléoutiennes,,Branta
Branta hutchinsii minima,Minima Cackling Goose,MCGO,Bernache de Hutchins,,Branta
Branta canadensis maxima,Large Canada Goose,LCGO,Grande bernache du Canada,,Branta
Branta hutchinsii taverneri,Taverner's Cackling Goose,TCGO,Bernache de Taverner,,Branta
Branta hutchinsii hutchinsii,Richardson's Cackling Goose,RCGO,Bernache de Richardson,,Branta
Branta canadensis ocidentalis,Dusky Canada Goose,DCGO,Bernache du Canada sombre,,Branta
Branta canadensis parvipes,Small Canada/Cackling Goose,SCGO,Petite bernache du Canada/Bernache de Hutchins,,Branta
Branta bernicla hrota,Atlantic Brant,ATBR,Bernache cravant de l'Atlantique,,Branta
Branta bernicla nigricans,Black Brant,BLBR,Bernache noire,,Branta
Branta leucopsis,Barnacle Goose,BRNG,Bernache nonnette,,Branta
Branta sandvicensis,Hawaiian Goose,HAGO,Bernache néné,Y,Branta
Anser canagicus,Emperor Goose,EMGO,Oie empereur,,Anser
Dendrocygna autumnalis,Black-bellied Whistling-Duck,BBWD,Dendrocygne à ventre noir,,Dendrocygna
Dendrocygna arborea,West Indian Whistling-Duck,WIWD,Dendrocygne des Antilles,,Dendrocygna
Dendrocygna bicolor,Fulvous Whistling-Duck,FUWD,Dendrocygne fauve,,Dendrocygna
Cygnus olor,Mute Swan,MUSW,Cygne tuberculé,,Cygnus
Cygnus cygnus,Whooper Swan,WHOS,Cygne chanteur,,Cygnus
Cygnus columbianus columbianus,Whistling Swan,WHSW,Cygne siffleur,,Cygnus
Cygnus columbianus bewickii,Bewick's Swan,BESW,Cygne de Bewick,,Cygnus
Cygnus buccinator,Trumpeter Swan,TRUS,Cygne trompette,,Cygnus
Phoenicopterus ruber,American Flamingo,AMFL,Flamant des Caraïbes,,Phoenicopterus
Platalea ajaja,Roseate Spoonbill,ROSP,Spatule rosée,,Platalea
Eudocimus albus,White Ibis,WHIB,Ibis blanc,,Eudocimus
Eudocimus ruber,Scarlet Ibis,SCIB,Ibis rouge,,Eudocimus
Plegadis falcinellus,Glossy Ibis,GLIB,Ibis falcinelle,,Plegadis
Plegadis chihi,White-faced Ibis,WFIB,Ibis à face blanche,,Plegadis
Mycteria americana,Wood Stork,WOST,Tantale d'Amérique,Y,Mycteria
Botaurus lentiginosus,American Bittern,AMBI,Butor d'Amérique,,Botaurus
Botaurus exilis,Least Bittern,LEBI,Petit Blongios,Manitoba New Brunswick Nova Scotia Ontario Québec,Botaurus
Botaurus sinensis,Yellow Bittern,YEBI,Blongios de Chine,,Botaurus
Ardea herodias occidentalis,Great White Heron,GWHE,Grand Héron blanc,,Ardea
Ardea herodias,Great Blue Heron,GBHE,Grand Héron,,Ardea
Ardea alba,Great Egret,GREG,Grande Aigrette,,Ardea
Egretta sacra,Pacific Reef Heron,PRHE,Aigrette à gorge blanche,,Egretta
Egretta thula,Snowy Egret,SNEG,Aigrette neigeuse,,Egretta
Egretta rufescens,Reddish Egret,REEG,Aigrette roussâtre,,Egretta
Egretta tricolor,Tricolored Heron,TRHE,Aigrette tricolore,,Egretta
Egretta caerulea,Little Blue Heron,LBHE,Aigrette bleue,,Egretta
Aredea ibis,Western Cattle Egret,WECE,Héron garde-boeufs,,Aredea
Butorides virescens,Green Heron,GRHE,Héron vert,,Butorides
Nycticorax nycticorax,Black-crowned Night Heron,BCNH,Bihoreau gris,,Nycticorax
Nyctanassa violacea,Yellow-crowned Night Heron,YCNH,Bihoreau violacé,,Nyctanassa
Grus americana,Whooping Crane,WHCR,Grue blanche,Y,Grus
Antigone canadensis,Sandhill Crane,SACR,Grue du Canada,,Antigone
Antigone canadensis pulla,Mississippi Sandhill Crane,MSCR,Grue du Canada (Mississippi),Y,Antigone
Aramus guarauna,Limpkin,LIMP,Courlan brun,,Aramus
Rallus elegans,King Rail,KIRA,Râle élégant,Ontario,Rallus
Rallus crepitans,Clapper Rail,CLRA,Râle gris,,Rallus
Rallus obsoletus obsoletus,California Ridgway's Rail,CRRA,Râle de Californie,Y,Rallus
Rallus obsoletus levipes,Light-footed Ridgway's Rail,LFRR,Râle de Californie,Y,Rallus
Rallus obsoletus yumanensis,Yuma Ridgway's Rail,YRRA,,Y,Rallus
Rallus limicola,Virginia Rail,VIRA,Râle de Virginie,,Rallus
Hapalocrex flaviventer,Yellow-breasted Crake,YBCR,Marouette à sourcils blancs,,Hapalocrex
Porzana carolina,Sora,SORA,Marouette de Caroline,,Porzana
Coturnicops noveboracensis,Yellow Rail,YERA,Râle jaune,,Coturnicops
Laterallus jamaicensis,Black Rail,BLRA,Râle noir,,Laterallus
Gallirallus philippensis,Buff-banded Rail,BBRA,Râle tiklin,,Gallirallus
Gallirallus owstoni,Guam Rail,GURA,Râle de Guam,Y,Gallirallus
Laterallus jamaicensis jamaicensis,Eastern Black Rail,EBRA,Râle noir este,Y,Laterallus
Laterallus jamaicensis coturniculus,California Black Rail,CBRA,Râle noir de Californie,,Laterallus
Porphyrio martinicus,Purple Gallinule,PUGA,Talève violacée,,Porphyrio
Porphyrio porphyrio,Purple Swamphen,PUSW,Talève sultan,,Porphyrio
Gallinula galeata,Common Gallinule,COGA,Gallinule d’Amérique,,Gallinula
Gallinula galeata sandvicensis,Hawaiian Gallinule,HAGA,Gallinule d’Amérique forme d'Hawaï,Y,Gallinula
Gallinula chloropus guami,Mariana Common Moorhen,MCMO,Gallinule poule-d'eau,Y,Gallinula
Fulica alai,Hawaiian Coot,HACO,Foulque des Hawaï,Y,Fulica
Fulica americana,American Coot,AMCO,Foulque d'Amérique,,Fulica
Fulica caribaea,Caribbean Coot,CARC,Foulque à cachet blanc,,Fulica
Phalaropus fulicarius,Red Phalarope,REPH,Phalarope à bec large,,Phalaropus
Phalaropus lobatus,Red-necked Phalarope,RNPH,Phalarope à bec étroit,,Phalaropus
Phalaropus tricolor,Wilson's Phalarope,WIPH,Phalarope de Wilson,,Phalaropus
Recurvirostra americana,American Avocet,AMAV,Avocette d'Amérique,,Recurvirostra
Himantopus mexicanus,Black-necked Stilt,BNST,Échasse d'Amérique,,Himantopus
Himantopus mexicanus knudseni,Hawaiian Stilt,HAST,Échasse des Hawaï,Y,Himantopus
Himantopus himantopus,Black-winged Stilt,BWST,,,Himantopus
Scolopax rusticola,Eurasian Woodcock,EUWO,Bécasse des bois,,Scolopax
Scolopax minor,American Woodcock,AMWO,Bécasse d'Amérique,,Scolopax
Gallinago gallinago,Common Snipe,COSN,Bécassine des marais,,Gallinago
Gallinago delicata,Wilson's Snipe,WISN,Bécassine de Wilson,,Gallinago
Gallinago stenura,Pin-tailed Snipe,PTSN,Bécassine à queue pointue,,Gallinago
Gallinago megala,Swinhoe's Snipe,SWSN,Bécassine de Swinhoe,,Gallinago
Limnodromus griseus,Short-billed Dowitcher,SBDO,Bécassin roux,,Limnodromus
Limnodromus scolopaceus,Long-billed Dowitcher,LBDO,Bécassin à long bec,,Limnodromus
Calidris himantopus,Stilt Sandpiper,STSA,Bécasseau à échasses,,Calidris
Calidris canutus,Red Knot,REKN,Bécasseau maubèche,British Columbia Yukon Territory Northwest Territories,Calidris
Calidris canutus rufa,Rufa Red Knot,RRKN,Bécasseau maubèche,Y,Calidris
Calidris maritima,Purple Sandpiper,PUSA,Bécasseau violet,,Calidris
Calidris ptilocnemis,Rock Sandpiper,ROSA,Bécasseau des Aléoutiennes,,Calidris
Calidris acuminata,Sharp-tailed Sandpiper,SHAS,Bécasseau à queue pointue,,Calidris
Calidris melanotos,Pectoral Sandpiper,PESA,Bécasseau à poitrine cendrée,,Calidris
Calidris fuscicollis,White-rumped Sandpiper,WRSA,Bécasseau à croupion blanc,,Calidris
Calidris bairdii,Baird's Sandpiper,BASA,Bécasseau de Baird,,Calidris
Calidris minuta,Little Stint,LIST,Bécasseau minute,,Calidris
Calidris minutilla,Least Sandpiper,LESA,Bécasseau minuscule,,Calidris
Calidris ruficollis,Red-necked Stint,RNST,Bécasseau à col roux,,Calidris
Calidris subminuta,Long-toed Stint,LTST,Bécasseau à longs doigts,,Calidris
Calidris alpina,Dunlin,DUNL,Bécasseau variable,,Calidris
Calidris ferruginea,Curlew Sandpiper,CUSA,Bécasseau cocorli,,Calidris
Calidris pygmea,Spoon-billed Sandpiper,SPOS,Bécasseau spatule,,Calidris
Calidris pusilla,Semipalmated Sandpiper,SESA,Bécasseau semipalmé,,Calidris
Calidris mauri,Western Sandpiper,WESA,Bécasseau d'Alaska,,Calidris
Calidris alba,Sanderling,SAND,Bécasseau sanderling,,Calidris
Limosa fedoa,Marbled Godwit,MAGO,Barge marbrée,,Limosa
Limosa lapponica,Bar-tailed Godwit,BARG,Barge rousse,,Limosa
Limosa haemastica,Hudsonian Godwit,HUGO,Barge hudsonienne,,Limosa
Limosa limosa,Black-tailed Godwit,BLAG,Barge à queue noire,,Limosa
Tringa nebularia,Common Greenshank,CGRE,Chevalier aboyeur,,Tringa
Tringa melanoleuca,Greater Yellowlegs,GRYE,Grand Chevalier,,Tringa
Tringa flavipes,Lesser Yellowlegs,LEYE,Petit Chevalier,,Tringa
Tringa solitaria,Solitary Sandpiper,SOSA,Chevalier solitaire,,Tringa
Tringa glareola,Wood Sandpiper,WOSA,Chevalier sylvain,,Tringa
Tringa stagnatilis,Marsh Sandpiper,MASA,Chevalier stagnatile,,Tringa
