scientific_name,bbl_common_name,bbl_alpha,bbl_french_name,bbl_threatened_endangered,genus
Pheucticus ludovicianus,Rose-breasted Grosbeak,RBGR,Cardinal à poitrine rose,,Pheucticus
Pheucticus melanocephalus,Black-headed Grosbeak,BHGR,Cardinal à tête noire,,Pheucticus
Pheucticus chrysopeplus,Yellow Grosbeak,YEGR,Cardinal jaune,,Pheucticus
Passerina caerulea,Blue Grosbeak,BLGR,Guiraca bleu,,Passerina
Cyanocompsa parellina,Blue Bunting,BLBU,Évêque paré,,Cyanocompsa
Passerina cyanea,Indigo Bunting,INBU,Passerin indigo,,Passerina
Passerina amoena,Lazuli Bunting,LAZB,Passerin azuré,,Passerina
Passerina versicolor,Varied Bunting,VABU,Passerin varié,,Passerina
Passerina ciris,Painted Bunting,PABU,Passerin nonpareil,,Passerina
Melopyrrha portoricensis,Puerto Rican Bullfinch,PUEB,Sporophile de Porto Rico,,Melopyrrha
Loxigilla noctis,Lesser Antillean Bullfinch,LESB,Sporophile rougegorge,,Loxigilla
Sporophila morelleti,Morelet's Seedeater,MOSE,Sporophile de Morelet,,Sporophila
Sporophila torqueola,Cinnamon-rumped Seedeater,CRSE,Sporophile à col blanc,,Sporophila
Melanospiza bicolor,Black-faced Grassquit,BFGR,Sporophile cici,,Melanospiza
Phonipara canora,Cuban Grassquit,CUGR,Sporophile petit-chanteur,,Phonipara
Tiaris olivaceus,Yellow-faced Grassquit,YFGR,Sporophile grand-chanteur,,Tiaris
Spiza americana,Dickcissel,DICK,Dickcissel d'Amérique,,Spiza
Calamospiza melanocorys,Lark Bunting,LARB,Bruant noir et blanc,Alberta Manitoba Saskatchewan,Calamospiza
Chlorophonia musica,Antillean Euphonia,ANEU,Organiste louis-d'or,,Chlorophonia
Piranga ludoviciana,Western Tanager,WETA,Piranga à tête rouge,,Piranga
Piranga bidentata,Flame-colored Tanager,FCTA,Piranga à dos rayé,,Piranga
Piranga olivacea,Scarlet Tanager,SCTA,Piranga écarlate,,Piranga
Piranga flava,Hepatic Tanager,HETA,Piranga orangé,,Piranga
Piranga rubra,Summer Tanager,SUTA,Piranga vermillon,,Piranga
Spindalis zena,Western Spindalis,WESP,Zéna à tête rayée,,Spindalis
Nesospingus speculiferus,Puerto Rican Tanager,PRTA,Tangara de Porto Rico,,Nesospingus
Spindalis dominicensis,Hispaniolan Spindalis,HISP,,,Spindalis
Spindalis portoricensis,Puerto Rican Spindalis,PRSP,,,Spindalis
Spindalis nigricephala,Jamaican Spindalis,JAMS,,,Spindalis
Progne subis,Purple Martin,PUMA,Hirondelle noire,,Progne
Progne chalybea,Gray-breasted Martin,GBMA,Hirondelle chalybée,,Progne
Progne dominicensis,Caribbean Martin,CAMA,Hirondelle à ventre blanc,,Progne
Petrochelidon pyrrhonota,Cliff Swallow,CLSW,Hirondelle à front blanc,,Petrochelidon
Petrochelidon fulva,Cave Swallow,CASW,Hirondelle à front brun,,Petrochelidon
Hirundo rustica,Barn Swallow,BARS,Hirondelle rustique,Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Nova Scotia Ontario Prince Edward Island Québec Saskatchewan Yukon Territory Northwest Territories,Hirundo
Tachycineta bicolor,Tree Swallow,TRES,Hirondelle bicolore,,Tachycineta
Tachycineta thalassina,Violet-green Swallow,VGSW,Hirondelle à face blanche,,Tachycineta
Tachycineta cyaneoviridis,Bahama Swallow,BAHS,Hirondelle des Bahamas,,Tachycineta
Riparia riparia,Bank Swallow,BANS,Hirondelle de rivage,Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Nova Scotia Ontario Prince Edward Island Québec Saskatchewan Yukon Territory Northwest Territories,Riparia
Stelgidopteryx serripennis,Northern Rough-winged Swallow,NRWS,Hirondelle à ailes hérissées,,Stelgidopteryx
Bombycilla garrulus,Bohemian Waxwing,BOWA,Jaseur boréal,,Bombycilla
Bombycilla cedrorum,Cedar Waxwing,CEDW,Jaseur d'Amérique,,Bombycilla
Phainopepla nitens,Phainopepla,PHAI,Phénopèple luisant,,Phainopepla
Lanius borealis,Northern Shrike,NSHR,Pie-grièche grise,,Lanius
Lanius cristatus,Brown Shrike,BRSH,Pie-grièche brune,,Lanius
Lanius ludovicianus,Loggerhead Shrike,LOSH,Pie-grièche migratrice,Alberta Manitoba Ontario Québec Saskatchewan,Lanius
Moho braccatus,Kauai Oo,KAOO,Moho de Kauai,Y,Moho
Moho bishopi,Bishop's Oo,BIOO,Moho de Bishop,Y,Moho
