scientific_name,avilist_common_name,avilist_taxon_rank,avilist_order,avilist_family,avilist_iucn_status,avilist_avibase_id,genus
Anairetes fernandezianus,Juan Fernandez Tit-Tyrant,species,Passeriformes,Tyrannidae,EN,avibase-DD908FC1,Anairetes
Ramphotrigon,,genus,Passeriformes,Tyrannidae,,,Ramphotrigon
Ramphotrigon megacephalum,Large-headed Flatbill,species,Passeriformes,Tyrannidae,LC,avibase-3955CDE6,Ramphotrigon
Ramphotrigon megacephalum pectorale,,subspecies,Passeriformes,Tyrannidae,,avibase-AB76D40E,Ramphotrigon
Ramphotrigon megacephalum venezuelense,,subspecies,Passeriformes,Tyrannidae,,avibase-301CDD26,Ramphotrigon
Ramphotrigon megacephalum bolivianum,,subspecies,Passeriformes,Tyrannidae,,avibase-5879C1B8,Ramphotrigon
Ramphotrigon megacephalum megacephalum,,subspecies,Passeriformes,Tyrannidae,,avibase-5C1CE01D,Ramphotrigon
Ramphotrigon ruficauda,Rufous-tailed Flatbill,species,Passeriformes,Tyrannidae,LC,avibase-2197445D,Ramphotrigon
Ramphotrigon flammulatum,Flammulated Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-E8E65DD3,Ramphotrigon
Ramphotrigon fuscicauda,Dusky-tailed Flatbill,species,Passeriformes,Tyrannidae,LC,avibase-872F0AA9,Ramphotrigon
Sirystes,,genus,Passeriformes,Tyrannidae,,,Sirystes
Sirystes albogriseus,Choco Sirystes,species,Passeriformes,Tyrannidae,LC,avibase-33EB2398,Sirystes
Sirystes albocinereus,White-rumped Sirystes,species,Passeriformes,Tyrannidae,LC,avibase-524DE233,Sirystes
Sirystes subcanescens,Todd's Sirystes,species,Passeriformes,Tyrannidae,LC,avibase-848755FA,Sirystes
Sirystes sibilator,Sibilant Sirystes,species,Passeriformes,Tyrannidae,LC,avibase-BC92F381,Sirystes
Sirystes sibilator sibilator,,subspecies,Passeriformes,Tyrannidae,,avibase-33FA72A6,Sirystes
Sirystes sibilator atimastus,,subspecies,Passeriformes,Tyrannidae,,avibase-7DD175CC,Sirystes
Casiornis,,genus,Passeriformes,Tyrannidae,,,Casiornis
Casiornis rufus,Rufous Casiornis,species,Passeriformes,Tyrannidae,LC,avibase-B172A418,Casiornis
Casiornis fuscus,Ash-throated Casiornis,species,Passeriformes,Tyrannidae,LC,avibase-4E1780CD,Casiornis
Rhytipterna,,genus,Passeriformes,Tyrannidae,,,Rhytipterna
Rhytipterna holerythra,Rufous Mourner,species,Passeriformes,Tyrannidae,LC,avibase-229BCEE1,Rhytipterna
Rhytipterna holerythra holerythra,,subspecies,Passeriformes,Tyrannidae,,avibase-B3543A6B,Rhytipterna
Rhytipterna holerythra rosenbergi,,subspecies,Passeriformes,Tyrannidae,,avibase-DB2D3A2D,Rhytipterna
Rhytipterna simplex,Greyish Mourner,species,Passeriformes,Tyrannidae,LC,avibase-DB5BFD24,Rhytipterna
Rhytipterna simplex frederici,,subspecies,Passeriformes,Tyrannidae,,avibase-92AB6455,Rhytipterna
Rhytipterna simplex simplex,,subspecies,Passeriformes,Tyrannidae,,avibase-032A3189,Rhytipterna
Rhytipterna immunda,Pale-bellied Mourner,species,Passeriformes,Tyrannidae,LC,avibase-540609E5,Rhytipterna
Myiarchus,,genus,Passeriformes,Tyrannidae,,,Myiarchus
Myiarchus semirufus,Rufous Flycatcher,species,Passeriformes,Tyrannidae,VU,avibase-65D6284F,Myiarchus
Myiarchus yucatanensis,Yucatan Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-E920B48D,Myiarchus
Myiarchus yucatanensis yucatanensis,,subspecies,Passeriformes,Tyrannidae,,avibase-AB0112C9,Myiarchus
Myiarchus yucatanensis lanyoni,,subspecies,Passeriformes,Tyrannidae,,avibase-601FE414,Myiarchus
Myiarchus yucatanensis navai,,subspecies,Passeriformes,Tyrannidae,,avibase-D2F78A1F,Myiarchus
Myiarchus barbirostris,Sad Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-D0DB8932,Myiarchus
Myiarchus tuberculifer,Dusky-capped Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-3D57A982,Myiarchus
Myiarchus tuberculifer olivascens,,subspecies,Passeriformes,Tyrannidae,,avibase-9A8767FA,Myiarchus
Myiarchus tuberculifer lawrenceii,,subspecies,Passeriformes,Tyrannidae,,avibase-BB1B807F,Myiarchus
Myiarchus tuberculifer querulus,,subspecies,Passeriformes,Tyrannidae,,avibase-B03A0F32,Myiarchus
Myiarchus tuberculifer platyrhynchus,,subspecies,Passeriformes,Tyrannidae,,avibase-0EDD867D,Myiarchus
Myiarchus tuberculifer manens,,subspecies,Passeriformes,Tyrannidae,,avibase-3D55EA7B,Myiarchus
Myiarchus tuberculifer connectens,,subspecies,Passeriformes,Tyrannidae,,avibase-3F2A4D47,Myiarchus
Myiarchus tuberculifer littoralis,,subspecies,Passeriformes,Tyrannidae,,avibase-A9D5DE1F,Myiarchus
Myiarchus tuberculifer nigricapillus,,subspecies,Passeriformes,Tyrannidae,,avibase-C5E32F13,Myiarchus
Myiarchus tuberculifer brunneiceps,,subspecies,Passeriformes,Tyrannidae,,avibase-95E6C514,Myiarchus
Myiarchus tuberculifer pallidus,,subspecies,Passeriformes,Tyrannidae,,avibase-A68DDAEE,Myiarchus
Myiarchus tuberculifer tuberculifer,,subspecies,Passeriformes,Tyrannidae,,avibase-BCA88B58,Myiarchus
Myiarchus tuberculifer nigriceps,,subspecies,Passeriformes,Tyrannidae,,avibase-2C4BDA83,Myiarchus
Myiarchus tuberculifer atriceps,,subspecies,Passeriformes,Tyrannidae,,avibase-DCC45AD9,Myiarchus
Myiarchus swainsoni,Swainson's Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-EF21F7B5,Myiarchus
Myiarchus swainsoni phaeonotus,,subspecies,Passeriformes,Tyrannidae,,avibase-04E2B0AC,Myiarchus
Myiarchus swainsoni pelzelni,,subspecies,Passeriformes,Tyrannidae,,avibase-3C3768B0,Myiarchus
Myiarchus swainsoni ferocior,,subspecies,Passeriformes,Tyrannidae,,avibase-BED5D317,Myiarchus
Myiarchus swainsoni swainsoni,,subspecies,Passeriformes,Tyrannidae,,avibase-9D9C0F26,Myiarchus
Myiarchus venezuelensis,Venezuelan Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-A1288AF2,Myiarchus
Myiarchus panamensis,Panama Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-2A2A4A6F,Myiarchus
Myiarchus panamensis actiosus,,subspecies,Passeriformes,Tyrannidae,,avibase-3077906E,Myiarchus
Myiarchus panamensis panamensis,,subspecies,Passeriformes,Tyrannidae,,avibase-2E8F9411,Myiarchus
Myiarchus ferox,Short-crested Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-825CACEF,Myiarchus
Myiarchus ferox brunnescens,,subspecies,Passeriformes,Tyrannidae,,avibase-2F9ABFB1,Myiarchus
Myiarchus ferox ferox,,subspecies,Passeriformes,Tyrannidae,,avibase-8F16A3BF,Myiarchus
Myiarchus ferox australis,,subspecies,Passeriformes,Tyrannidae,,avibase-06A3983E,Myiarchus
Myiarchus apicalis,Apical Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-AA902955,Myiarchus
Myiarchus phaeocephalus,Sooty-crowned Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-A5894F7C,Myiarchus
Myiarchus phaeocephalus phaeocephalus,,subspecies,Passeriformes,Tyrannidae,,avibase-F07EC92E,Myiarchus
Myiarchus phaeocephalus interior,,subspecies,Passeriformes,Tyrannidae,,avibase-1DF5CB64,Myiarchus
Myiarchus cephalotes,Pale-edged Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-C7D1E218,Myiarchus
Myiarchus cephalotes caribbaeus,,subspecies,Passeriformes,Tyrannidae,,avibase-539E821B,Myiarchus
Myiarchus cephalotes cephalotes,,subspecies,Passeriformes,Tyrannidae,,avibase-169A63B9,Myiarchus
Myiarchus cinerascens,Ash-throated Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-E0A04985,Myiarchus
Myiarchus cinerascens cinerascens,,subspecies,Passeriformes,Tyrannidae,,avibase-3E890EC1,Myiarchus
Myiarchus cinerascens pertinax,,subspecies,Passeriformes,Tyrannidae,,avibase-21A72532,Myiarchus
Myiarchus nuttingi,Nutting's Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-59A53D8B,Myiarchus
Myiarchus nuttingi inquietus,,subspecies,Passeriformes,Tyrannidae,,avibase-4F31983F,Myiarchus
Myiarchus nuttingi nuttingi,,subspecies,Passeriformes,Tyrannidae,,avibase-41CCD9A8,Myiarchus
Myiarchus nuttingi flavidior,,subspecies,Passeriformes,Tyrannidae,,avibase-31E830C3,Myiarchus
Myiarchus crinitus,Great Crested Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-8D6D5F2B,Myiarchus
Myiarchus tyrannulus,Brown-crested Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-FC9E06A0,Myiarchus
Myiarchus tyrannulus magister,,subspecies,Passeriformes,Tyrannidae,,avibase-122AAEC1,Myiarchus
Myiarchus tyrannulus cooperi,,subspecies,Passeriformes,Tyrannidae,,avibase-DFE56E64,Myiarchus
Myiarchus tyrannulus cozumelae,,subspecies,Passeriformes,Tyrannidae,,avibase-243B9DF4,Myiarchus
Myiarchus tyrannulus insularum,,subspecies,Passeriformes,Tyrannidae,,avibase-D9B00FF6,Myiarchus
Myiarchus tyrannulus brachyurus,,subspecies,Passeriformes,Tyrannidae,,avibase-BE3DB556,Myiarchus
Myiarchus tyrannulus tyrannulus,,subspecies,Passeriformes,Tyrannidae,,avibase-855BBA11,Myiarchus
Myiarchus tyrannulus bahiae,,subspecies,Passeriformes,Tyrannidae,,avibase-3B673EDB,Myiarchus
Myiarchus magnirostris,Galapagos Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-5D12E97B,Myiarchus
Myiarchus nugator,Grenada Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-DFF4AD06,Myiarchus
Myiarchus validus,Rufous-tailed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-DBD0D60A,Myiarchus
Myiarchus sagrae,La Sagra's Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-A7BEC2BF,Myiarchus
Myiarchus sagrae lucaysiensis,,subspecies,Passeriformes,Tyrannidae,,avibase-7A47DC45,Myiarchus
Myiarchus sagrae sagrae,,subspecies,Passeriformes,Tyrannidae,,avibase-7AD45D24,Myiarchus
Myiarchus stolidus,Stolid Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-638BF4C5,Myiarchus
Myiarchus stolidus dominicensis,,subspecies,Passeriformes,Tyrannidae,,avibase-9A2501DC,Myiarchus
Myiarchus stolidus stolidus,,subspecies,Passeriformes,Tyrannidae,,avibase-0D0A6C90,Myiarchus
Myiarchus antillarum,Puerto Rican Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-FCF63BDD,Myiarchus
Myiarchus oberi,Lesser Antillean Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-DBF55732,Myiarchus
Myiarchus oberi berlepschii,,subspecies,Passeriformes,Tyrannidae,,avibase-9A225FFF,Myiarchus
Myiarchus oberi oberi,,subspecies,Passeriformes,Tyrannidae,,avibase-FA9AD86A,Myiarchus
Myiarchus oberi sclateri,,subspecies,Passeriformes,Tyrannidae,,avibase-9F771F44,Myiarchus
Myiarchus oberi sanctaeluciae,,subspecies,Passeriformes,Tyrannidae,,avibase-C9EACBC3,Myiarchus
Legatus,,genus,Passeriformes,Tyrannidae,,,Legatus
Legatus leucophaius,Piratic Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-9971C83E,Legatus
Legatus leucophaius variegatus,,subspecies,Passeriformes,Tyrannidae,,avibase-7F8CA1F6,Legatus
Legatus leucophaius leucophaius,,subspecies,Passeriformes,Tyrannidae,,avibase-4C4AD5C2,Legatus
Attila,,genus,Passeriformes,Tyrannidae,,,Attila
Attila phoenicurus,Rufous-tailed Attila,species,Passeriformes,Tyrannidae,LC,avibase-B747569D,Attila
Attila cinnamomeus,Cinnamon Attila,species,Passeriformes,Tyrannidae,LC,avibase-A6AB77CA,Attila
Attila torridus,Ochraceous Attila,species,Passeriformes,Tyrannidae,NT,avibase-2896E1DB,Attila
Attila citriniventris,Citron-bellied Attila,species,Passeriformes,Tyrannidae,LC,avibase-DE322436,Attila
Attila bolivianus,White-eyed Attila,species,Passeriformes,Tyrannidae,LC,avibase-8DA83B89,Attila
Attila bolivianus nattereri,,subspecies,Passeriformes,Tyrannidae,,avibase-F1C0C399,Attila
Attila bolivianus bolivianus,,subspecies,Passeriformes,Tyrannidae,,avibase-F50F10DA,Attila
Attila rufus,Grey-hooded Attila,species,Passeriformes,Tyrannidae,LC,avibase-727CE8E0,Attila
Attila rufus hellmayri,,subspecies,Passeriformes,Tyrannidae,,avibase-73BC07FC,Attila
Attila rufus rufus,,subspecies,Passeriformes,Tyrannidae,,avibase-D9B17B97,Attila
Attila spadiceus,Bright-rumped Attila,species,Passeriformes,Tyrannidae,LC,avibase-BA09A296,Attila
Attila spadiceus pacificus,,subspecies,Passeriformes,Tyrannidae,,avibase-ED7619C0,Attila
Attila spadiceus cozumelae,,subspecies,Passeriformes,Tyrannidae,,avibase-B4E388B1,Attila
Attila spadiceus gaumeri,,subspecies,Passeriformes,Tyrannidae,,avibase-7702C0F0,Attila
Attila spadiceus flammulatus,,subspecies,Passeriformes,Tyrannidae,,avibase-2A46170D,Attila
Attila spadiceus salvadorensis,,subspecies,Passeriformes,Tyrannidae,,avibase-A3D0A26A,Attila
Attila spadiceus citreopyga,,subspecies,Passeriformes,Tyrannidae,,avibase-FE326530,Attila
Attila spadiceus sclateri,,subspecies,Passeriformes,Tyrannidae,,avibase-A6D2F42B,Attila
Attila spadiceus caniceps,,subspecies,Passeriformes,Tyrannidae,,avibase-11CD33B2,Attila
Attila spadiceus parvirostris,,subspecies,Passeriformes,Tyrannidae,,avibase-E47D7592,Attila
Attila spadiceus parambae,,subspecies,Passeriformes,Tyrannidae,,avibase-C364F80A,Attila
Attila spadiceus spadiceus,,subspecies,Passeriformes,Tyrannidae,,avibase-3F6826DF,Attila
Attila spadiceus uropygiatus,,subspecies,Passeriformes,Tyrannidae,,avibase-A799F75B,Attila
Machetornis,,genus,Passeriformes,Tyrannidae,,,Machetornis
Machetornis rixosa,Cattle Tyrant,species,Passeriformes,Tyrannidae,LC,avibase-87874F97,Machetornis
Machetornis rixosa flavigularis,,subspecies,Passeriformes,Tyrannidae,,avibase-DCC0FFBD,Machetornis
Machetornis rixosa obscurodorsalis,,subspecies,Passeriformes,Tyrannidae,,avibase-573FDBC2,Machetornis
Machetornis rixosa rixosa,,subspecies,Passeriformes,Tyrannidae,,avibase-C25756D2,Machetornis
Philohydor,,genus,Passeriformes,Tyrannidae,,,Philohydor
Philohydor lictor,Lesser Kiskadee,species,Passeriformes,Tyrannidae,LC,avibase-5B0BE8AD,Philohydor
Philohydor lictor panamensis,,subspecies,Passeriformes,Tyrannidae,,avibase-E281761C,Philohydor
Philohydor lictor lictor,,subspecies,Passeriformes,Tyrannidae,,avibase-5DFDC67E,Philohydor
Pitangus,,genus,Passeriformes,Tyrannidae,,,Pitangus
Pitangus sulphuratus,Great Kiskadee,species,Passeriformes,Tyrannidae,LC,avibase-9C883C7B,Pitangus
Pitangus sulphuratus texanus,,subspecies,Passeriformes,Tyrannidae,,avibase-03AF9299,Pitangus
Pitangus sulphuratus derbianus,,subspecies,Passeriformes,Tyrannidae,,avibase-28390D1D,Pitangus
Pitangus sulphuratus guatimalensis,,subspecies,Passeriformes,Tyrannidae,,avibase-CE2F4D8A,Pitangus
Pitangus sulphuratus rufipennis,,subspecies,Passeriformes,Tyrannidae,,avibase-F543C849,Pitangus
Pitangus sulphuratus caucensis,,subspecies,Passeriformes,Tyrannidae,,avibase-DB98C927,Pitangus
Pitangus sulphuratus trinitatis,,subspecies,Passeriformes,Tyrannidae,,avibase-57C6577D,Pitangus
Pitangus sulphuratus sulphuratus,,subspecies,Passeriformes,Tyrannidae,,avibase-49763E9E,Pitangus
Pitangus sulphuratus maximiliani,,subspecies,Passeriformes,Tyrannidae,,avibase-60950434,Pitangus
Pitangus sulphuratus bolivianus,,subspecies,Passeriformes,Tyrannidae,,avibase-F2C86AB6,Pitangus
Pitangus sulphuratus argentinus,,subspecies,Passeriformes,Tyrannidae,,avibase-58E6C71C,Pitangus
Myiozetetes,,genus,Passeriformes,Tyrannidae,,,Myiozetetes
Myiozetetes cayanensis,Rusty-margined Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-B384278C,Myiozetetes
Myiozetetes cayanensis rufipennis,,subspecies,Passeriformes,Tyrannidae,,avibase-1CBF701F,Myiozetetes
Myiozetetes cayanensis hellmayri,,subspecies,Passeriformes,Tyrannidae,,avibase-43E1295E,Myiozetetes
Myiozetetes cayanensis cayanensis,,subspecies,Passeriformes,Tyrannidae,,avibase-1797BAA3,Myiozetetes
Myiozetetes cayanensis erythropterus,,subspecies,Passeriformes,Tyrannidae,,avibase-97DB890F,Myiozetetes
Myiozetetes similis,Social Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-468B520C,Myiozetetes
Myiozetetes similis primulus,,subspecies,Passeriformes,Tyrannidae,,avibase-DF8CA7B9,Myiozetetes
Myiozetetes similis hesperis,,subspecies,Passeriformes,Tyrannidae,,avibase-67E7BB95,Myiozetetes
Myiozetetes similis texensis,,subspecies,Passeriformes,Tyrannidae,,avibase-DB93482F,Myiozetetes
Myiozetetes similis columbianus,,subspecies,Passeriformes,Tyrannidae,,avibase-DDFA630F,Myiozetetes
Myiozetetes similis similis,,subspecies,Passeriformes,Tyrannidae,,avibase-EF44C767,Myiozetetes
Myiozetetes similis grandis,,subspecies,Passeriformes,Tyrannidae,,avibase-23DE4235,Myiozetetes
Myiozetetes similis pallidiventris,,subspecies,Passeriformes,Tyrannidae,,avibase-8CE0F1B4,Myiozetetes
Myiozetetes granadensis,Grey-capped Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-DCCFF7D4,Myiozetetes
Myiozetetes granadensis granadensis,,subspecies,Passeriformes,Tyrannidae,,avibase-A9AD73FD,Myiozetetes
Myiozetetes granadensis occidentalis,,subspecies,Passeriformes,Tyrannidae,,avibase-EC9EE1F6,Myiozetetes
Myiozetetes granadensis obscurior,,subspecies,Passeriformes,Tyrannidae,,avibase-BD739AD3,Myiozetetes
Myiozetetes luteiventris,Dusky-chested Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-D486B51A,Myiozetetes
Myiozetetes luteiventris luteiventris,,subspecies,Passeriformes,Tyrannidae,,avibase-88E414EF,Myiozetetes
Myiozetetes luteiventris septentrionalis,,subspecies,Passeriformes,Tyrannidae,,avibase-22C4539B,Myiozetetes
Myiodynastes,,genus,Passeriformes,Tyrannidae,,,Myiodynastes
Myiodynastes hemichrysus,Golden-bellied Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-D460A5CB,Myiodynastes
Myiodynastes hemichrysus hemichrysus,,subspecies,Passeriformes,Tyrannidae,,avibase-049A1D8F,Myiodynastes
Myiodynastes hemichrysus minor,,subspecies,Passeriformes,Tyrannidae,,avibase-13DA23D8,Myiodynastes
Myiodynastes hemichrysus cinerascens,,subspecies,Passeriformes,Tyrannidae,,avibase-F241C55B,Myiodynastes
Myiodynastes chrysocephalus,Golden-crowned Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-BB58F50E,Myiodynastes
Myiodynastes bairdii,Baird's Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-977CA271,Myiodynastes
Myiodynastes maculatus,Streaked Flycatcher,species,Passeriformes,Tyrannidae,NE,avibase-D94C6177,Myiodynastes
Myiodynastes maculatus insolens,,subspecies,Passeriformes,Tyrannidae,,avibase-91A5BF5F,Myiodynastes
Myiodynastes maculatus difficilis,,subspecies,Passeriformes,Tyrannidae,,avibase-4146A225,Myiodynastes
Myiodynastes maculatus nobilis,,subspecies,Passeriformes,Tyrannidae,,avibase-6F160E27,Myiodynastes
Myiodynastes maculatus chapmani,,subspecies,Passeriformes,Tyrannidae,,avibase-D959A7AB,Myiodynastes
Myiodynastes maculatus maculatus,,subspecies,Passeriformes,Tyrannidae,,avibase-5630612F,Myiodynastes
Myiodynastes maculatus tobagensis,,subspecies,Passeriformes,Tyrannidae,,avibase-0D36E5DC,Myiodynastes
Myiodynastes maculatus solitarius,,subspecies,Passeriformes,Tyrannidae,,avibase-C28FFE3F,Myiodynastes
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-9DBB70D5,Myiodynastes
Tyrannopsis,,genus,Passeriformes,Tyrannidae,,,Tyrannopsis
Tyrannopsis sulphurea,Sulphury Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-D595068F,Tyrannopsis
Megarynchus,,genus,Passeriformes,Tyrannidae,,,Megarynchus
Megarynchus pitangua,Boat-billed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-8118C647,Megarynchus
Megarynchus pitangua tardiusculus,,subspecies,Passeriformes,Tyrannidae,,avibase-A2C9EC3A,Megarynchus
Megarynchus pitangua caniceps,,subspecies,Passeriformes,Tyrannidae,,avibase-7B4CFF20,Megarynchus
Megarynchus pitangua mexicanus,,subspecies,Passeriformes,Tyrannidae,,avibase-1075BBFA,Megarynchus
Megarynchus pitangua deserticola,,subspecies,Passeriformes,Tyrannidae,,avibase-90561D5A,Megarynchus
Megarynchus pitangua pitangua,,subspecies,Passeriformes,Tyrannidae,,avibase-7417D4AB,Megarynchus
Megarynchus pitangua chrysogaster,,subspecies,Passeriformes,Tyrannidae,,avibase-68CA24FC,Megarynchus
Conopias,,genus,Passeriformes,Tyrannidae,,,Conopias
Conopias albovittatus,White-ringed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-FEE77420,Conopias
Conopias albovittatus distinctus,,subspecies,Passeriformes,Tyrannidae,,avibase-859E3529,Conopias
Conopias albovittatus albovittatus,,subspecies,Passeriformes,Tyrannidae,,avibase-1F8A130C,Conopias
Conopias parvus,Yellow-throated Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-B8415F96,Conopias
Conopias trivirgatus,Three-striped Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-C5A7C594,Conopias
Conopias trivirgatus berlepschi,,subspecies,Passeriformes,Tyrannidae,,avibase-D88ABD6D,Conopias
Conopias trivirgatus trivirgatus,,subspecies,Passeriformes,Tyrannidae,,avibase-68E84B2B,Conopias
Conopias cinchoneti,Lemon-browed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-C5202F83,Conopias
Conopias cinchoneti icterophrys,,subspecies,Passeriformes,Tyrannidae,,avibase-881DD499,Conopias
Conopias cinchoneti cinchoneti,,subspecies,Passeriformes,Tyrannidae,,avibase-1CB7A85D,Conopias
Empidonomus,,genus,Passeriformes,Tyrannidae,,,Empidonomus
Empidonomus varius,Variegated Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-BD902263,Empidonomus
Empidonomus varius varius,,subspecies,Passeriformes,Tyrannidae,,avibase-7AF68D69,Empidonomus
Empidonomus varius rufinus,,subspecies,Passeriformes,Tyrannidae,,avibase-C3A51E01,Empidonomus
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-1BAC8667,Empidonomus
Empidonomus aurantioatrocristatus pallidiventris,,subspecies,Passeriformes,Tyrannidae,,avibase-FBBFF7C8,Empidonomus
Empidonomus aurantioatrocristatus aurantioatrocristatus,,subspecies,Passeriformes,Tyrannidae,,avibase-1F322E79,Empidonomus
Tyrannus,,genus,Passeriformes,Tyrannidae,,,Tyrannus
Tyrannus savana,Fork-tailed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-A2510EF4,Tyrannus
Tyrannus savana monachus,,subspecies,Passeriformes,Tyrannidae,,avibase-BCA00790,Tyrannus
Tyrannus savana sanctaemartae,,subspecies,Passeriformes,Tyrannidae,,avibase-06FA028D,Tyrannus
Tyrannus savana circumdatus,,subspecies,Passeriformes,Tyrannidae,,avibase-668077A4,Tyrannus
Tyrannus savana savana,,subspecies,Passeriformes,Tyrannidae,,avibase-64662420,Tyrannus
Tyrannus albogularis,White-throated Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-6FCD33D6,Tyrannus
Tyrannus melancholicus,Tropical Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-BB6B236F,Tyrannus
Tyrannus melancholicus satrapa,,subspecies,Passeriformes,Tyrannidae,,avibase-762D0690,Tyrannus
Tyrannus melancholicus despotes,,subspecies,Passeriformes,Tyrannidae,,avibase-4D63D779,Tyrannus
Tyrannus melancholicus melancholicus,,subspecies,Passeriformes,Tyrannidae,,avibase-502F5550,Tyrannus
Tyrannus cubensis,Giant Kingbird,species,Passeriformes,Tyrannidae,EN,avibase-26D5D80F,Tyrannus
Tyrannus dominicensis,Grey Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-F5388B5E,Tyrannus
Tyrannus dominicensis dominicensis,,subspecies,Passeriformes,Tyrannidae,,avibase-22A205B9,Tyrannus
Tyrannus dominicensis vorax,,subspecies,Passeriformes,Tyrannidae,,avibase-B0DD155C,Tyrannus
Tyrannus niveigularis,Snowy-throated Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-B826FFA5,Tyrannus
Tyrannus caudifasciatus,Loggerhead Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-7E0CD776,Tyrannus
Tyrannus caudifasciatus bahamensis,,subspecies,Passeriformes,Tyrannidae,,avibase-861588BF,Tyrannus
Tyrannus caudifasciatus caudifasciatus,,subspecies,Passeriformes,Tyrannidae,,avibase-BFC66754,Tyrannus
Tyrannus caudifasciatus caymanensis,,subspecies,Passeriformes,Tyrannidae,,avibase-F992C29F,Tyrannus
Tyrannus caudifasciatus jamaicensis,,subspecies,Passeriformes,Tyrannidae,,avibase-F6750AF0,Tyrannus
Tyrannus caudifasciatus taylori,,subspecies,Passeriformes,Tyrannidae,,avibase-4C454620,Tyrannus
Tyrannus caudifasciatus gabbii,,subspecies,Passeriformes,Tyrannidae,,avibase-7FDDE01B,Tyrannus
Tyrannus couchii,Couch's Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-0A76713F,Tyrannus
Tyrannus crassirostris,Thick-billed Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-097B0525,Tyrannus
Tyrannus crassirostris pompalis,,subspecies,Passeriformes,Tyrannidae,,avibase-2C20AB36,Tyrannus
Tyrannus crassirostris crassirostris,,subspecies,Passeriformes,Tyrannidae,,avibase-84109275,Tyrannus
Tyrannus tyrannus,Eastern Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-082D833C,Tyrannus
Tyrannus vociferans,Cassin's Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-178B8955,Tyrannus
Tyrannus vociferans vociferans,,subspecies,Passeriformes,Tyrannidae,,avibase-6904F986,Tyrannus
Tyrannus vociferans xenopterus,,subspecies,Passeriformes,Tyrannidae,,avibase-25684347,Tyrannus
Tyrannus forficatus,Scissor-tailed Flycatcher,species,Passeriformes,Tyrannidae,LC,avibase-6F65F82B,Tyrannus
Tyrannus verticalis,Western Kingbird,species,Passeriformes,Tyrannidae,LC,avibase-2281F1C7,Tyrannus
Muscigralla,,genus,Passeriformes,Tyrannidae,,,Muscigralla
Muscigralla brevicauda,Short-tailed Field Tyrant,species,Passeriformes,Tyrannidae,LC,avibase-C1450281,Muscigralla
Myiophobus,,genus,Passeriformes,Tyrannidae,,,Myiophobus
