scientific_name,ebird_common_name,ebird_species_code,ebird_order,ebird_family,genus
Otus sulaensis,Sula Scops-Owl,sulsco3,Strigiformes,Strigidae,Otus
Otus beccarii,Biak Scops-Owl,biasco1,Strigiformes,Strigidae,Otus
Otus umbra,Simeulue Scops-Owl,sisowl1,Strigiformes,Strigidae,Otus
Otus enganensis,Enggano Scops-Owl,ensowl1,Strigiformes,Strigidae,Otus
Otus alius,Nicobar Scops-Owl,nicsco1,Strigiformes,Strigidae,Otus
Otus pamelae,Arabian Scops-Owl,arasco1,Strigiformes,Strigidae,Otus
Otus scops,Eurasian Scops-Owl,eursco1,Strigiformes,Strigidae,Otus
Otus cyprius,Cyprus Scops-Owl,eursco3,Strigiformes,Strigidae,Otus
Otus bikegila,Principe Scops-Owl,prisco1,Strigiformes,Strigidae,Otus
Otus pembaensis,Pemba Scops-Owl,pesowl2,Strigiformes,Strigidae,Otus
Otus hartlaubi,Sao Tome Scops-Owl,stsowl1,Strigiformes,Strigidae,Otus
Otus senegalensis,African Scops-Owl,afsowl1,Strigiformes,Strigidae,Otus
Otus brucei,Pallid Scops-Owl,pasowl3,Strigiformes,Strigidae,Otus
Otus mirus,Mindanao Scops-Owl,misowl1,Strigiformes,Strigidae,Otus
Otus longicornis,Luzon Scops-Owl,lusowl1,Strigiformes,Strigidae,Otus
Otus moheliensis,Moheli Scops-Owl,mohsco1,Strigiformes,Strigidae,Otus
Otus pauliani,Comoro Scops-Owl,cosowl3,Strigiformes,Strigidae,Otus
Otus insularis,Seychelles Scops-Owl,sesowl1,Strigiformes,Strigidae,Otus
Otus sunia,Oriental Scops-Owl,orsowl,Strigiformes,Strigidae,Otus
Otus socotranus,Socotra Scops-Owl,afrsco2,Strigiformes,Strigidae,Otus
Otus capnodes,Anjouan Scops-Owl,ansowl2,Strigiformes,Strigidae,Otus
Otus mayottensis,Mayotte Scops-Owl,maysco1,Strigiformes,Strigidae,Otus
Otus grucheti,Reunion Scops-Owl,reusco1,Strigiformes,Strigidae,Otus
Otus murivorus,Rodrigues Scops-Owl,rodsco1,Strigiformes,Strigidae,Otus
Otus sauzieri,Mauritius Scops-Owl,mausco1,Strigiformes,Strigidae,Otus
Otus rutilus,Madagascar Scops-Owl,madsco1,Strigiformes,Strigidae,Otus
Psiloscops flammeolus,Flammulated Owl,flaowl,Strigiformes,Strigidae,Psiloscops
Gymnasio nudipes,Puerto Rican Owl,prsowl,Strigiformes,Strigidae,Gymnasio
Megascops clarkii,Bare-shanked Screech-Owl,bssowl,Strigiformes,Strigidae,Megascops
Megascops trichopsis,Whiskered Screech-Owl,whsowl1,Strigiformes,Strigidae,Megascops
Megascops albogularis,White-throated Screech-Owl,whtsco1,Strigiformes,Strigidae,Megascops
Megascops choliba,Tropical Screech-Owl,trsowl,Strigiformes,Strigidae,Megascops
Megascops koepckeae,Koepcke's Screech-Owl,koesco1,Strigiformes,Strigidae,Megascops
Megascops ingens,Rufescent Screech-Owl,rufsco1,Strigiformes,Strigidae,Megascops
Megascops petersoni,Cinnamon Screech-Owl,cinsco1,Strigiformes,Strigidae,Megascops
Megascops marshalli,Cloud-forest Screech-Owl,clfsco1,Strigiformes,Strigidae,Megascops
Megascops hoyi,Montane Forest Screech-Owl,mofsco1,Strigiformes,Strigidae,Megascops
Megascops guatemalae,Middle American Screech-Owl,vesowl,Strigiformes,Strigidae,Megascops
Megascops centralis,Choco Screech-Owl,versco2,Strigiformes,Strigidae,Megascops
Megascops roraimae,Foothill Screech-Owl,foosco1,Strigiformes,Strigidae,Megascops
Megascops sanctaecatarinae,Long-tufted Screech-Owl,lotsco1,Strigiformes,Strigidae,Megascops
Megascops barbarus,Bearded Screech-Owl,besowl,Strigiformes,Strigidae,Megascops
Megascops seductus,Balsas Screech-Owl,basowl,Strigiformes,Strigidae,Megascops
Megascops cooperi,Pacific Screech-Owl,pasowl4,Strigiformes,Strigidae,Megascops
Megascops kennicottii,Western Screech-Owl,wesowl1,Strigiformes,Strigidae,Megascops
Megascops asio,Eastern Screech-Owl,easowl1,Strigiformes,Strigidae,Megascops
Megascops gilesi,Santa Marta Screech-Owl,samsco1,Strigiformes,Strigidae,Megascops
Megascops roboratus,Peruvian Screech-Owl,persco1,Strigiformes,Strigidae,Megascops
Megascops watsonii,Tawny-bellied Screech-Owl,tabsco1,Strigiformes,Strigidae,Megascops
Megascops atricapilla,Black-capped Screech-Owl,bkcsco1,Strigiformes,Strigidae,Megascops
Margarobyas lawrencii,Bare-legged Owl,balowl,Strigiformes,Strigidae,Margarobyas
Ptilopsis leucotis,Northern White-faced Owl,nwfowl1,Strigiformes,Strigidae,Ptilopsis
Ptilopsis granti,Southern White-faced Owl,swfowl1,Strigiformes,Strigidae,Ptilopsis
Lophostrix cristata,Crested Owl,creowl1,Strigiformes,Strigidae,Lophostrix
Jubula lettii,Maned Owl,manowl1,Strigiformes,Strigidae,Jubula
Pulsatrix perspicillata,Spectacled Owl,speowl1,Strigiformes,Strigidae,Pulsatrix
Pulsatrix koeniswaldiana,Tawny-browed Owl,tabowl1,Strigiformes,Strigidae,Pulsatrix
Pulsatrix melanota,Band-bellied Owl,babowl1,Strigiformes,Strigidae,Pulsatrix
Bubo scandiacus,Snowy Owl,snoowl1,Strigiformes,Strigidae,Bubo
Bubo virginianus,Great Horned Owl,grhowl,Strigiformes,Strigidae,Bubo
Bubo magellanicus,Lesser Horned Owl,grhowl2,Strigiformes,Strigidae,Bubo
Bubo bengalensis,Rock Eagle-Owl,roeowl1,Strigiformes,Strigidae,Bubo
Bubo cinerascens,Grayish Eagle-Owl,graeao1,Strigiformes,Strigidae,Bubo
Bubo africanus,Spotted Eagle-Owl,spoeao2,Strigiformes,Strigidae,Bubo
Bubo milesi,Arabian Eagle-Owl,speowl2,Strigiformes,Strigidae,Bubo
Bubo capensis,Cape Eagle-Owl,caeowl1,Strigiformes,Strigidae,Bubo
Bubo ascalaphus,Pharaoh Eagle-Owl,pheowl1,Strigiformes,Strigidae,Bubo
Bubo bubo,Eurasian Eagle-Owl,eueowl1,Strigiformes,Strigidae,Bubo
Ketupa poensis,Fraser's Eagle-Owl,fraeao1,Strigiformes,Strigidae,Ketupa
Ketupa leucosticta,Akun Eagle-Owl,akeowl1,Strigiformes,Strigidae,Ketupa
Ketupa lactea,Verreaux's Eagle-Owl,veeowl1,Strigiformes,Strigidae,Ketupa
Ketupa shelleyi,Shelley's Eagle-Owl,sheowl1,Strigiformes,Strigidae,Ketupa
Ketupa blakistoni,Blakiston's Fish-Owl,blfowl1,Strigiformes,Strigidae,Ketupa
Ketupa ketupu,Buffy Fish-Owl,bufowl2,Strigiformes,Strigidae,Ketupa
Ketupa zeylonensis,Brown Fish-Owl,brfowl1,Strigiformes,Strigidae,Ketupa
Ketupa flavipes,Tawny Fish-Owl,tafowl1,Strigiformes,Strigidae,Ketupa
Ketupa coromanda,Dusky Eagle-Owl,dueowl1,Strigiformes,Strigidae,Ketupa
Ketupa nipalensis,Spot-bellied Eagle-Owl,sbeowl1,Strigiformes,Strigidae,Ketupa
Ketupa sumatrana,Barred Eagle-Owl,baeowl1,Strigiformes,Strigidae,Ketupa
Ketupa philippensis,Philippine Eagle-Owl,pheowl2,Strigiformes,Strigidae,Ketupa
Scotopelia peli,Pel's Fishing-Owl,pefowl1,Strigiformes,Strigidae,Scotopelia
Scotopelia ussheri,Rufous Fishing-Owl,rufowl1,Strigiformes,Strigidae,Scotopelia
Scotopelia bouvieri,Vermiculated Fishing-Owl,vefowl1,Strigiformes,Strigidae,Scotopelia
Surnia ulula,Northern Hawk Owl,nohowl,Strigiformes,Strigidae,Surnia
Glaucidium passerinum,Eurasian Pygmy-Owl,eupowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium perlatum,Pearl-spotted Owlet,pesowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium gnoma,Northern Pygmy-Owl,nopowl,Strigiformes,Strigidae,Glaucidium
Glaucidium costaricanum,Costa Rican Pygmy-Owl,crpowl,Strigiformes,Strigidae,Glaucidium
Glaucidium nubicola,Cloud-forest Pygmy-Owl,clopyo1,Strigiformes,Strigidae,Glaucidium
Glaucidium jardinii,Andean Pygmy-Owl,anpowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium bolivianum,Yungas Pygmy-Owl,yupowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium parkeri,Subtropical Pygmy-Owl,supowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium griseiceps,Central American Pygmy-Owl,capowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium sanchezi,Tamaulipas Pygmy-Owl,tapowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium palmarum,Colima Pygmy-Owl,copowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium hardyi,Amazonian Pygmy-Owl,amapyo1,Strigiformes,Strigidae,Glaucidium
Glaucidium mooreorum,Pernambuco Pygmy-Owl,perpyo1,Strigiformes,Strigidae,Glaucidium
Glaucidium minutissimum,Least Pygmy-Owl,leapyo1,Strigiformes,Strigidae,Glaucidium
Glaucidium brasilianum,Ferruginous Pygmy-Owl,fepowl,Strigiformes,Strigidae,Glaucidium
Glaucidium nana,Austral Pygmy-Owl,aupowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium peruanum,Peruvian Pygmy-Owl,pepowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium siju,Cuban Pygmy-Owl,cupowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium tephronotum,Red-chested Owlet,recowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium sjostedti,Sjöstedt's Owlet,sjoowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium cuculoides,Asian Barred Owlet,asbowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium castanopterum,Javan Owlet,javowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium radiatum,Jungle Owlet,junowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium castanotum,Chestnut-backed Owlet,chbowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium capense,African Barred Owlet,afbowl1,Strigiformes,Strigidae,Glaucidium
Glaucidium albertinum,Albertine Owlet,albowl1,Strigiformes,Strigidae,Glaucidium
Taenioptynx brodiei,Collared Owlet,colowl1,Strigiformes,Strigidae,Taenioptynx
Taenioptynx sylvaticus,Sunda Owlet,colowl3,Strigiformes,Strigidae,Taenioptynx
Micrathene whitneyi,Elf Owl,elfowl,Strigiformes,Strigidae,Micrathene
Xenoglaux loweryi,Long-whiskered Owlet,lowowl1,Strigiformes,Strigidae,Xenoglaux
Athene brama,Spotted Owlet,spoowl1,Strigiformes,Strigidae,Athene
Athene noctua,Little Owl,litowl1,Strigiformes,Strigidae,Athene
Athene blewitti,Forest Owlet,forowl1,Strigiformes,Strigidae,Athene
Athene jacquinoti,West Solomons Owl,solboo1,Strigiformes,Strigidae,Athene
Athene granti,Guadalcanal Owl,solboo2,Strigiformes,Strigidae,Athene
Athene malaitae,Malaita Owl,solboo3,Strigiformes,Strigidae,Athene
Athene roseoaxillaris,Makira Owl,solboo4,Strigiformes,Strigidae,Athene
Athene superciliaris,White-browed Owl,whbowl1,Strigiformes,Strigidae,Athene
Athene cunicularia,Burrowing Owl,burowl,Strigiformes,Strigidae,Athene
Strix virgata,Mottled Owl,motowl,Strigiformes,Strigidae,Strix
Strix nigrolineata,Black-and-white Owl,bawowl1,Strigiformes,Strigidae,Strix
Strix huhula,Black-banded Owl,bkbowl1,Strigiformes,Strigidae,Strix
Strix albitarsis,Rufous-banded Owl,rubowl3,Strigiformes,Strigidae,Strix
Strix seloputo,Spotted Wood-Owl,spwowl1,Strigiformes,Strigidae,Strix
Strix ocellata,Mottled Wood-Owl,mowowl1,Strigiformes,Strigidae,Strix
Strix leptogrammica,Brown Wood-Owl,brwowl1,Strigiformes,Strigidae,Strix
Strix aluco,Tawny Owl,tawowl1,Strigiformes,Strigidae,Strix
Strix mauritanica,Maghreb Owl,tawowl3,Strigiformes,Strigidae,Strix
Strix nivicolum,Himalayan Owl,himowl1,Strigiformes,Strigidae,Strix
Strix hadorami,Desert Owl,humowl1,Strigiformes,Strigidae,Strix
Strix butleri,Omani Owl,omaowl1,Strigiformes,Strigidae,Strix
Strix occidentalis,Spotted Owl,spoowl,Strigiformes,Strigidae,Strix
Strix varia,Barred Owl,brdowl,Strigiformes,Strigidae,Strix
Strix sartorii,Cinereous Owl,barowl13,Strigiformes,Strigidae,Strix
Strix fulvescens,Fulvous Owl,fulowl1,Strigiformes,Strigidae,Strix
Strix hylophila,Rusty-barred Owl,rubowl2,Strigiformes,Strigidae,Strix
Strix rufipes,Rufous-legged Owl,rulowl1,Strigiformes,Strigidae,Strix
Strix chacoensis,Chaco Owl,chaowl1,Strigiformes,Strigidae,Strix
Strix uralensis,Ural Owl,uraowl1,Strigiformes,Strigidae,Strix
Strix nebulosa,Great Gray Owl,grgowl,Strigiformes,Strigidae,Strix
Strix woodfordii,African Wood-Owl,afwowl1,Strigiformes,Strigidae,Strix
Asio grammicus,Jamaican Owl,jamowl1,Strigiformes,Strigidae,Asio
Asio otus,Long-eared Owl,loeowl,Strigiformes,Strigidae,Asio
Asio abyssinicus,Abyssinian Owl,aleowl1,Strigiformes,Strigidae,Asio
Asio madagascariensis,Madagascar Owl,mleowl1,Strigiformes,Strigidae,Asio
Asio clamator,Striped Owl,strowl1,Strigiformes,Strigidae,Asio
Asio stygius,Stygian Owl,styowl1,Strigiformes,Strigidae,Asio
Asio flammeus,Short-eared Owl,sheowl,Strigiformes,Strigidae,Asio
Asio capensis,Marsh Owl,marowl2,Strigiformes,Strigidae,Asio
Asio solomonensis,Fearful Owl,feaowl1,Strigiformes,Strigidae,Asio
Aegolius funereus,Boreal Owl,borowl,Strigiformes,Strigidae,Aegolius
Aegolius acadicus,Northern Saw-whet Owl,nswowl,Strigiformes,Strigidae,Aegolius
Aegolius gradyi,Bermuda Saw-whet Owl,bswowl1,Strigiformes,Strigidae,Aegolius
Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,Strigiformes,Strigidae,Aegolius
Aegolius harrisii,Buff-fronted Owl,bufowl1,Strigiformes,Strigidae,Aegolius
Ninox rufa,Rufous Owl,rufowl2,Strigiformes,Strigidae,Ninox
Ninox strenua,Powerful Owl,powowl1,Strigiformes,Strigidae,Ninox
Ninox connivens,Barking Owl,barowl1,Strigiformes,Strigidae,Ninox
Ninox rudolfi,Sumba Boobook,sumboo1,Strigiformes,Strigidae,Ninox
Ninox affinis,Andaman Boobook,andhao1,Strigiformes,Strigidae,Ninox
Ninox boobook,Southern Boobook,souboo8,Strigiformes,Strigidae,Ninox
Ninox rotiensis,Rote Boobook,souboo4,Strigiformes,Strigidae,Ninox
Ninox fusca,Timor Boobook,souboo5,Strigiformes,Strigidae,Ninox
Ninox plesseni,Alor Boobook,souboo6,Strigiformes,Strigidae,Ninox
Ninox leucopsis,Tasmanian Boobook,souboo3,Strigiformes,Strigidae,Ninox
Ninox novaeseelandiae,Morepork,morepo2,Strigiformes,Strigidae,Ninox
Ninox albifacies,Laughing Owl,lauowl1,Strigiformes,Strigidae,Ninox
Ninox sumbaensis,Least Boobook,lishao1,Strigiformes,Strigidae,Ninox
Ninox scutulata,Brown Boobook,brnhao1,Strigiformes,Strigidae,Ninox
Ninox obscura,Hume's Boobook,brnhao3,Strigiformes,Strigidae,Ninox
Ninox japonica,Northern Boobook,norboo1,Strigiformes,Strigidae,Ninox
Ninox randi,Chocolate Boobook,choboo1,Strigiformes,Strigidae,Ninox
Ninox philippensis,Luzon Boobook,phihao1,Strigiformes,Strigidae,Ninox
Ninox spilocephala,Mindanao Boobook,minboo1,Strigiformes,Strigidae,Ninox
Ninox mindorensis,Mindoro Boobook,minboo2,Strigiformes,Strigidae,Ninox
Ninox spilonotus,Romblon Boobook,romboo1,Strigiformes,Strigidae,Ninox
Ninox rumseyi,Cebu Boobook,cebboo1,Strigiformes,Strigidae,Ninox
Ninox leventisi,Camiguin Boobook,camboo1,Strigiformes,Strigidae,Ninox
Ninox reyi,Sulu Boobook,sulboo1,Strigiformes,Strigidae,Ninox
Ninox ochracea,Ochre-bellied Boobook,ocbhao1,Strigiformes,Strigidae,Ninox
Ninox burhani,Togian Boobook,toghao1,Strigiformes,Strigidae,Ninox
Ninox ios,Cinnabar Boobook,cinhao1,Strigiformes,Strigidae,Ninox
Ninox hypogramma,Halmahera Boobook,molhao3,Strigiformes,Strigidae,Ninox
Ninox forbesi,Tanimbar Boobook,molhao2,Strigiformes,Strigidae,Ninox
Ninox squamipila,Seram Boobook,hanboo2,Strigiformes,Strigidae,Ninox
Ninox hantu,Buru Boobook,hanboo1,Strigiformes,Strigidae,Ninox
Ninox natalis,Christmas Island Boobook,chihao1,Strigiformes,Strigidae,Ninox
Ninox theomacha,Papuan Boobook,junhao1,Strigiformes,Strigidae,Ninox
Ninox meeki,Manus Boobook,manhao1,Strigiformes,Strigidae,Ninox
Ninox punctulata,Speckled Boobook,spehao1,Strigiformes,Strigidae,Ninox
Ninox variegata,Bismarck Boobook,bishao1,Strigiformes,Strigidae,Ninox
Ninox odiosa,New Britain Boobook,nebhao1,Strigiformes,Strigidae,Ninox
Uroglaux dimorpha,Papuan Owl,paphao1,Strigiformes,Strigidae,Uroglaux
Colius striatus,Speckled Mousebird,spemou2,Coliiformes,Coliidae,Colius
Colius leucocephalus,White-headed Mousebird,whhmou1,Coliiformes,Coliidae,Colius
Colius castanotus,Red-backed Mousebird,rebmou1,Coliiformes,Coliidae,Colius
Colius colius,White-backed Mousebird,whbmou1,Coliiformes,Coliidae,Colius
Urocolius macrourus,Blue-naped Mousebird,blnmou1,Coliiformes,Coliidae,Urocolius
Urocolius indicus,Red-faced Mousebird,refmou1,Coliiformes,Coliidae,Urocolius
Leptosomus discolor,Cuckoo-roller,cuckoo1,Leptosomiformes,Leptosomidae,Leptosomus
Apaloderma narina,Narina Trogon,nartro1,Trogoniformes,Trogonidae,Apaloderma
Apaloderma aequatoriale,Bare-cheeked Trogon,bactro1,Trogoniformes,Trogonidae,Apaloderma
Apaloderma vittatum,Bar-tailed Trogon,battro1,Trogoniformes,Trogonidae,Apaloderma
Apalharpactes reinwardtii,Javan Trogon,javtro1,Trogoniformes,Trogonidae,Apalharpactes
Apalharpactes mackloti,Sumatran Trogon,sumtro1,Trogoniformes,Trogonidae,Apalharpactes
Harpactes oreskios,Orange-breasted Trogon,orbtro2,Trogoniformes,Trogonidae,Harpactes
Harpactes fasciatus,Malabar Trogon,maltro1,Trogoniformes,Trogonidae,Harpactes
Harpactes kasumba,Red-naped Trogon,rentro1,Trogoniformes,Trogonidae,Harpactes
Harpactes diardii,Diard's Trogon,diatro1,Trogoniformes,Trogonidae,Harpactes
Harpactes ardens,Philippine Trogon,phitro1,Trogoniformes,Trogonidae,Harpactes
Harpactes whiteheadi,Whitehead's Trogon,whitro1,Trogoniformes,Trogonidae,Harpactes
Harpactes orrhophaeus,Cinnamon-rumped Trogon,cirtro1,Trogoniformes,Trogonidae,Harpactes
Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1,Trogoniformes,Trogonidae,Harpactes
Harpactes erythrocephalus,Red-headed Trogon,rehtro1,Trogoniformes,Trogonidae,Harpactes
Harpactes wardi,Ward's Trogon,wartro1,Trogoniformes,Trogonidae,Harpactes
Euptilotis neoxenus,Eared Quetzal,earque,Trogoniformes,Trogonidae,Euptilotis
Pharomachrus pavoninus,Pavonine Quetzal,pavque1,Trogoniformes,Trogonidae,Pharomachrus
Pharomachrus auriceps,Golden-headed Quetzal,gohque1,Trogoniformes,Trogonidae,Pharomachrus
Pharomachrus mocinno,Resplendent Quetzal,resque1,Trogoniformes,Trogonidae,Pharomachrus
Pharomachrus fulgidus,White-tipped Quetzal,whtque1,Trogoniformes,Trogonidae,Pharomachrus
Pharomachrus antisianus,Crested Quetzal,creque1,Trogoniformes,Trogonidae,Pharomachrus
Priotelus temnurus,Cuban Trogon,cubtro1,Trogoniformes,Trogonidae,Priotelus
Priotelus roseigaster,Hispaniolan Trogon,histro1,Trogoniformes,Trogonidae,Priotelus
Trogon clathratus,Lattice-tailed Trogon,lattro1,Trogoniformes,Trogonidae,Trogon
Trogon massena,Slaty-tailed Trogon,slttro1,Trogoniformes,Trogonidae,Trogon
Trogon comptus,Blue-tailed Trogon,buttro1,Trogoniformes,Trogonidae,Trogon
Trogon mesurus,Ecuadorian Trogon,bkttro2,Trogoniformes,Trogonidae,Trogon
Trogon melanurus,Black-tailed Trogon,blttro1,Trogoniformes,Trogonidae,Trogon
Trogon melanocephalus,Black-headed Trogon,blhtro1,Trogoniformes,Trogonidae,Trogon
Trogon citreolus,Citreoline Trogon,cittro1,Trogoniformes,Trogonidae,Trogon
Trogon chionurus,White-tailed Trogon,whttro1,Trogoniformes,Trogonidae,Trogon
Trogon viridis,Green-backed Trogon,gnbtro1,Trogoniformes,Trogonidae,Trogon
Trogon bairdii,Baird's Trogon,baitro1,Trogoniformes,Trogonidae,Trogon
Trogon caligatus,Gartered Trogon,gartro1,Trogoniformes,Trogonidae,Trogon
Trogon violaceus,Guianan Trogon,viotro2,Trogoniformes,Trogonidae,Trogon
Trogon ramonianus,Amazonian Trogon,viotro3,Trogoniformes,Trogonidae,Trogon
Trogon curucui,Blue-crowned Trogon,blctro1,Trogoniformes,Trogonidae,Trogon
Trogon surrucura,Surucua Trogon,surtro1,Trogoniformes,Trogonidae,Trogon
Trogon tenellus,Northern Black-throated Trogon,bkttro7,Trogoniformes,Trogonidae,Trogon
Trogon cupreicauda,Choco Black-throated Trogon,bkttro5,Trogoniformes,Trogonidae,Trogon
Trogon rufus,Amazonian Black-throated Trogon,bkttro6,Trogoniformes,Trogonidae,Trogon
Trogon chrysochloros,Atlantic Black-throated Trogon,bkttro4,Trogoniformes,Trogonidae,Trogon
Trogon elegans,Elegant Trogon,eletro,Trogoniformes,Trogonidae,Trogon
Trogon mexicanus,Mountain Trogon,moutro1,Trogoniformes,Trogonidae,Trogon
Trogon collaris,Collared Trogon,coltro1,Trogoniformes,Trogonidae,Trogon
Trogon personatus,Masked Trogon,mastro1,Trogoniformes,Trogonidae,Trogon
Upupa epops,Eurasian Hoopoe,hoopoe,Bucerotiformes,Upupidae,Upupa
Upupa marginata,Madagascar Hoopoe,madhoo1,Bucerotiformes,Upupidae,Upupa
Upupa antaios,St. Helena Hoopoe,sthhoo1,Bucerotiformes,Upupidae,Upupa
Phoeniculus purpureus,Green Woodhoopoe,grewoo2,Bucerotiformes,Phoeniculidae,Phoeniculus
Phoeniculus damarensis,Violet Woodhoopoe,viowoo1,Bucerotiformes,Phoeniculidae,Phoeniculus
Phoeniculus somaliensis,Black-billed Woodhoopoe,blbwoo2,Bucerotiformes,Phoeniculidae,Phoeniculus
Phoeniculus bollei,White-headed Woodhoopoe,whhwoo1,Bucerotiformes,Phoeniculidae,Phoeniculus
Rhinopomastus castaneiceps,Forest Scimitarbill,forwoo1,Bucerotiformes,Phoeniculidae,Rhinopomastus
Rhinopomastus aterrimus,Black Scimitarbill,blsbil1,Bucerotiformes,Phoeniculidae,Rhinopomastus
Rhinopomastus cyanomelas,Common Scimitarbill,cosbil1,Bucerotiformes,Phoeniculidae,Rhinopomastus
Rhinopomastus minor,Abyssinian Scimitarbill,absbil1,Bucerotiformes,Phoeniculidae,Rhinopomastus
Bucorvus abyssinicus,Abyssinian Ground-Hornbill,noghor1,Bucerotiformes,Bucorvidae,Bucorvus
Bucorvus leadbeateri,Southern Ground-Hornbill,soghor1,Bucerotiformes,Bucorvidae,Bucorvus
Lophoceros camurus,Red-billed Dwarf Hornbill,rbdhor1,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros alboterminatus,Crowned Hornbill,crohor1,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros bradfieldi,Bradfield's Hornbill,brahor1,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros semifasciatus,West African Pied Hornbill,afphor2,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros fasciatus,Congo Pied Hornbill,afphor3,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros hemprichii,Hemprich's Hornbill,hemhor1,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros nasutus,African Gray Hornbill,afghor1,Bucerotiformes,Bucerotidae,Lophoceros
Lophoceros pallidirostris,Pale-billed Hornbill,pabhor1,Bucerotiformes,Bucerotidae,Lophoceros
Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus jacksoni,Jackson's Hornbill,jachor1,Bucerotiformes,Bucerotidae,Tockus
Tockus deckeni,Von der Decken's Hornbill,vddhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus monteiri,Monteiro's Hornbill,monhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus rufirostris,Southern Red-billed Hornbill,srbhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus damarensis,Damara Red-billed Hornbill,drbhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus ruahae,Tanzanian Red-billed Hornbill,trbhor1,Bucerotiformes,Bucerotidae,Tockus
Tockus kempi,Western Red-billed Hornbill,wrbhor2,Bucerotiformes,Bucerotidae,Tockus
Tockus erythrorhynchus,Northern Red-billed Hornbill,rebhor1,Bucerotiformes,Bucerotidae,Tockus
Berenicornis comatus,White-crowned Hornbill,whchor2,Bucerotiformes,Bucerotidae,Berenicornis
Horizocerus albocristatus,Western Long-tailed Hornbill,whchor1,Bucerotiformes,Bucerotidae,Horizocerus
Horizocerus cassini,Eastern Long-tailed Hornbill,whchor4,Bucerotiformes,Bucerotidae,Horizocerus
Horizocerus hartlaubi,Western Dwarf Hornbill,bkdhor1,Bucerotiformes,Bucerotidae,Horizocerus
Horizocerus granti,Eastern Dwarf Hornbill,bkdhor2,Bucerotiformes,Bucerotidae,Horizocerus
Ceratogymna elata,Yellow-casqued Hornbill,yechor1,Bucerotiformes,Bucerotidae,Ceratogymna
Ceratogymna atrata,Black-casqued Hornbill,blchor1,Bucerotiformes,Bucerotidae,Ceratogymna
Bycanistes brevis,Silvery-cheeked Hornbill,sichor1,Bucerotiformes,Bucerotidae,Bycanistes
Bycanistes subcylindricus,Black-and-white-casqued Hornbill,bawhor2,Bucerotiformes,Bucerotidae,Bycanistes
Bycanistes cylindricus,Brown-cheeked Hornbill,bnchor1,Bucerotiformes,Bucerotidae,Bycanistes
Bycanistes albotibialis,White-thighed Hornbill,whthor1,Bucerotiformes,Bucerotidae,Bycanistes
Bycanistes bucinator,Trumpeter Hornbill,truhor1,Bucerotiformes,Bucerotidae,Bycanistes
Bycanistes fistulator,Piping Hornbill,piphor1,Bucerotiformes,Bucerotidae,Bycanistes
Rhinoplax vigil,Helmeted Hornbill,helhor1,Bucerotiformes,Bucerotidae,Rhinoplax
Buceros hydrocorax,Rufous Hornbill,rufhor1,Bucerotiformes,Bucerotidae,Buceros
Buceros rhinoceros,Rhinoceros Hornbill,rhihor1,Bucerotiformes,Bucerotidae,Buceros
Buceros bicornis,Great Hornbill,grehor1,Bucerotiformes,Bucerotidae,Buceros
Anorrhinus galeritus,Bushy-crested Hornbill,buchor1,Bucerotiformes,Bucerotidae,Anorrhinus
Anorrhinus austeni,Brown Hornbill,brnhor1,Bucerotiformes,Bucerotidae,Anorrhinus
Anorrhinus tickelli,Rusty-cheeked Hornbill,ruchor1,Bucerotiformes,Bucerotidae,Anorrhinus
Ocyceros birostris,Indian Gray Hornbill,inghor2,Bucerotiformes,Bucerotidae,Ocyceros
