scientific_name,birdlife_common_name,birdlife_order,birdlife_family,birdlife_iucn_status,genus
Symposiachrus mundus,Black-bibbed Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus sacerdotum,Flores Monarch,PASSERIFORMES,Monarchidae,EN,Symposiachrus
Symposiachrus boanensis,Black-chinned Monarch,PASSERIFORMES,Monarchidae,CR,Symposiachrus
Symposiachrus trivirgatus,Spectacled Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus everetti,White-tipped Monarch,PASSERIFORMES,Monarchidae,EN,Symposiachrus
Symposiachrus loricatus,Black-tipped Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus leucurus,White-tailed Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus julianae,Kofiau Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus brehmii,Biak Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus manadensis,Hooded Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus infelix,Manus Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus menckei,White-breasted Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus verticalis,Black-tailed Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus ateralbus,Djaul Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus barbatus,Solomons Pied Monarch,PASSERIFORMES,Monarchidae,LC,Symposiachrus
Symposiachrus malaitae,Malaita Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus browni,Kolombangara Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Symposiachrus vidua,White-collared Monarch,PASSERIFORMES,Monarchidae,NT,Symposiachrus
Carterornis chrysomela,Golden Monarch,PASSERIFORMES,Monarchidae,LC,Carterornis
Carterornis leucotis,White-eared Monarch,PASSERIFORMES,Monarchidae,LC,Carterornis
Carterornis pileatus,White-naped Monarch,PASSERIFORMES,Monarchidae,LC,Carterornis
Carterornis castus,Tanimbar Monarch,PASSERIFORMES,Monarchidae,NT,Carterornis
Chasiempis sclateri,Kauai Elepaio,PASSERIFORMES,Monarchidae,NT,Chasiempis
Chasiempis ibidis,Oahu Elepaio,PASSERIFORMES,Monarchidae,VU,Chasiempis
Chasiempis sandwichensis,Hawaii Elepaio,PASSERIFORMES,Monarchidae,NT,Chasiempis
Pomarea pomarea,Maupiti Monarch,PASSERIFORMES,Monarchidae,EX,Pomarea
Pomarea nigra,Tahiti Monarch,PASSERIFORMES,Monarchidae,CR,Pomarea
Pomarea dimidiata,Rarotonga Monarch,PASSERIFORMES,Monarchidae,VU,Pomarea
Pomarea fluxa,Eiao Monarch,PASSERIFORMES,Monarchidae,EX,Pomarea
Pomarea iphis,Iphis Monarch,PASSERIFORMES,Monarchidae,CR,Pomarea
Pomarea whitneyi,Fatu Hiva Monarch,PASSERIFORMES,Monarchidae,CR,Pomarea
Pomarea nukuhivae,Nuku Hiva Monarch,PASSERIFORMES,Monarchidae,EX,Pomarea
Pomarea mira,Ua Pou Monarch,PASSERIFORMES,Monarchidae,CR (PE),Pomarea
Pomarea mendozae,Marquesas Monarch,PASSERIFORMES,Monarchidae,EN,Pomarea
Neolalage banksiana,Buff-bellied Monarch,PASSERIFORMES,Monarchidae,LC,Neolalage
Mayrornis schistaceus,Vanikoro Monarch,PASSERIFORMES,Monarchidae,VU,Mayrornis
Mayrornis versicolor,Ogea Monarch,PASSERIFORMES,Monarchidae,NT,Mayrornis
Mayrornis lessoni,Slaty Monarch,PASSERIFORMES,Monarchidae,LC,Mayrornis
Clytorhynchus pachycephaloides,Southern Shrikebill,PASSERIFORMES,Monarchidae,LC,Clytorhynchus
Clytorhynchus vitiensis,Fiji Shrikebill,PASSERIFORMES,Monarchidae,LC,Clytorhynchus
Clytorhynchus sanctaecrucis,Nendo Shrikebill,PASSERIFORMES,Monarchidae,EN,Clytorhynchus
Clytorhynchus nigrogularis,Black-throated Shrikebill,PASSERIFORMES,Monarchidae,NT,Clytorhynchus
Clytorhynchus hamlini,Rennell Shrikebill,PASSERIFORMES,Monarchidae,NT,Clytorhynchus
Monarcha cinerascens,Island Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Monarcha castaneiventris,Chestnut-bellied Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Monarcha megarhynchus,Makira Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Monarcha ugiensis,Ugi Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Monarcha richardsii,White-capped Monarch,PASSERIFORMES,Monarchidae,NT,Monarcha
Monarcha frater,Black-winged Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Monarcha melanopsis,Black-faced Monarch,PASSERIFORMES,Monarchidae,LC,Monarcha
Metabolus takatsukasae,Tinian Monarch,PASSERIFORMES,Monarchidae,NT,Metabolus
Metabolus godeffroyi,Yap Monarch,PASSERIFORMES,Monarchidae,NT,Metabolus
Metabolus rugensis,Chuuk Monarch,PASSERIFORMES,Monarchidae,EN,Metabolus
Trochocercus bivittatus,Eastern Crested-flycatcher,PASSERIFORMES,Monarchidae,LC,Trochocercus
Trochocercus cyanomelas,Southern Crested-flycatcher,PASSERIFORMES,Monarchidae,LC,Trochocercus
Trochocercus nitens,Western Crested-flycatcher,PASSERIFORMES,Monarchidae,LC,Trochocercus
Hypothymis azurea,Black-naped Monarch,PASSERIFORMES,Monarchidae,LC,Hypothymis
Hypothymis puella,Pale-blue Monarch,PASSERIFORMES,Monarchidae,LC,Hypothymis
Hypothymis helenae,Short-crested Monarch,PASSERIFORMES,Monarchidae,NT,Hypothymis
Hypothymis coelestis,Celestial Monarch,PASSERIFORMES,Monarchidae,VU,Hypothymis
Terpsiphone unirufa,Northern Rufous Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone cinnamomea,Southern Rufous Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone cyanescens,Blue Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone atrocaudata,Japanese Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone corvina,Seychelles Paradise-flycatcher,PASSERIFORMES,Monarchidae,VU,Terpsiphone
Terpsiphone bourbonnensis,Mascarene Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone paradisi,Indian Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone incei,Chinese Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone affinis,Oriental Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone floris,Nusa Tenggara Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone mutata,Madagascar Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone atrochalybeia,Sao Tome Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone viridis,African Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone rufocinerea,Rufous-vented Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone batesi,Bates's Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone rufiventer,Red-bellied Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Terpsiphone bedfordi,Bedford's Paradise-flycatcher,PASSERIFORMES,Monarchidae,LC,Terpsiphone
Platylophus galericulatus,Crested Jayshrike,PASSERIFORMES,Platylophidae,NT,Platylophus
Eurocephalus ruppelli,Northern White-crowned Shrike,PASSERIFORMES,Laniidae,LC,Eurocephalus
Eurocephalus anguitimens,Southern White-crowned Shrike,PASSERIFORMES,Laniidae,LC,Eurocephalus
Lanius tigrinus,Tiger Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius souzae,Souza's Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius bucephalus,Bull-headed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius cristatus,Brown Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius collurio,Red-backed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius phoenicuroides,Red-tailed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius isabellinus,Isabelline Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius collurioides,Burmese Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius gubernator,Emin's Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius vittatus,Bay-backed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius schach,Long-tailed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius tephronotus,Grey-backed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius validirostris,Mountain Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius mackinnoni,Mackinnon's Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius minor,Lesser Grey Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius ludovicianus,Loggerhead Shrike,PASSERIFORMES,Laniidae,NT,Lanius
Lanius sphenocercus,Chinese Grey Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius giganteus,Giant Grey Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius borealis,Northern Grey Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius excubitor,Great Grey Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius meridionalis,Iberian Grey Shrike,PASSERIFORMES,Laniidae,VU,Lanius
Lanius corvinus,Yellow-billed Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius melanoleucus,Magpie Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Lanius excubitoroides,Grey-backed Fiscal,PASSERIFORMES,Laniidae,LC,Lanius
Lanius cabanisi,Long-tailed Fiscal,PASSERIFORMES,Laniidae,LC,Lanius
Lanius dorsalis,Taita Fiscal,PASSERIFORMES,Laniidae,LC,Lanius
Lanius somalicus,Somali Fiscal,PASSERIFORMES,Laniidae,LC,Lanius
Lanius collaris,Common Fiscal,PASSERIFORMES,Laniidae,LC,Lanius
Lanius newtoni,Newton's Fiscal,PASSERIFORMES,Laniidae,CR,Lanius
Lanius senator,Woodchat Shrike,PASSERIFORMES,Laniidae,NT,Lanius
Lanius nubicus,Masked Shrike,PASSERIFORMES,Laniidae,LC,Lanius
Platysmurus leucopterus,Malay Black Magpie,PASSERIFORMES,Corvidae,LC,Platysmurus
Platysmurus aterrimus,Bornean Black Magpie,PASSERIFORMES,Corvidae,LC,Platysmurus
Temnurus temnurus,Ratchet-tailed Treepie,PASSERIFORMES,Corvidae,LC,Temnurus
Crypsirina temia,Racquet-tailed Treepie,PASSERIFORMES,Corvidae,LC,Crypsirina
Crypsirina cucullata,Hooded Treepie,PASSERIFORMES,Corvidae,NT,Crypsirina
Dendrocitta vagabunda,Rufous Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta formosae,Grey Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta occipitalis,Sumatran Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta cinerascens,Bornean Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta leucogastra,White-bellied Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta frontalis,Collared Treepie,PASSERIFORMES,Corvidae,LC,Dendrocitta
Dendrocitta bayleii,Andaman Treepie,PASSERIFORMES,Corvidae,VU,Dendrocitta
Pyrrhocorax pyrrhocorax,Red-billed Chough,PASSERIFORMES,Corvidae,LC,Pyrrhocorax
Pyrrhocorax graculus,Yellow-billed Chough,PASSERIFORMES,Corvidae,LC,Pyrrhocorax
Urocissa ornata,Sri Lanka Blue Magpie,PASSERIFORMES,Corvidae,VU,Urocissa
Urocissa caerulea,Taiwan Blue Magpie,PASSERIFORMES,Corvidae,LC,Urocissa
Urocissa flavirostris,Yellow-billed Blue Magpie,PASSERIFORMES,Corvidae,LC,Urocissa
Urocissa erythroryncha,Red-billed Blue Magpie,PASSERIFORMES,Corvidae,LC,Urocissa
Urocissa xanthomelana,White-winged Magpie,PASSERIFORMES,Corvidae,NT,Urocissa
Urocissa whiteheadi,Hainan Magpie,PASSERIFORMES,Corvidae,EN,Urocissa
Cissa chinensis,Common Green Magpie,PASSERIFORMES,Corvidae,LC,Cissa
Cissa hypoleuca,Indochinese Green Magpie,PASSERIFORMES,Corvidae,LC,Cissa
Cissa thalassina,Javan Green Magpie,PASSERIFORMES,Corvidae,CR,Cissa
Cissa jefferyi,Bornean Green Magpie,PASSERIFORMES,Corvidae,LC,Cissa
Perisoreus canadensis,Canada Jay,PASSERIFORMES,Corvidae,LC,Perisoreus
Perisoreus infaustus,Siberian Jay,PASSERIFORMES,Corvidae,LC,Perisoreus
Perisoreus internigrans,Sichuan Jay,PASSERIFORMES,Corvidae,NT,Perisoreus
Cyanopica cooki,Iberian Azure-winged Magpie,PASSERIFORMES,Corvidae,LC,Cyanopica
Cyanopica cyanus,Asian Azure-winged Magpie,PASSERIFORMES,Corvidae,LC,Cyanopica
Garrulus glandarius,Eurasian Jay,PASSERIFORMES,Corvidae,LC,Garrulus
Garrulus bispecularis,Plain-crowned Jay,PASSERIFORMES,Corvidae,LC,Garrulus
Garrulus leucotis,White-faced Jay,PASSERIFORMES,Corvidae,LC,Garrulus
Garrulus lanceolatus,Black-headed Jay,PASSERIFORMES,Corvidae,LC,Garrulus
Garrulus lidthi,Amami Jay,PASSERIFORMES,Corvidae,VU,Garrulus
Zavattariornis stresemanni,Ethiopian Bushcrow,PASSERIFORMES,Corvidae,EN,Zavattariornis
Ptilostomus afer,Piapiac,PASSERIFORMES,Corvidae,LC,Ptilostomus
Podoces hendersoni,Mongolian Ground-jay,PASSERIFORMES,Corvidae,LC,Podoces
Podoces biddulphi,Xinjiang Ground-jay,PASSERIFORMES,Corvidae,NT,Podoces
Podoces panderi,Turkestan Ground-jay,PASSERIFORMES,Corvidae,LC,Podoces
Podoces pleskei,Iranian Ground-jay,PASSERIFORMES,Corvidae,LC,Podoces
Pica pica,Eurasian Magpie,PASSERIFORMES,Corvidae,LC,Pica
Pica mauritanica,Maghreb Magpie,PASSERIFORMES,Corvidae,LC,Pica
Pica asirensis,Asir Magpie,PASSERIFORMES,Corvidae,EN,Pica
Pica hudsonia,Black-billed Magpie,PASSERIFORMES,Corvidae,LC,Pica
Pica nutalli,Yellow-billed Magpie,PASSERIFORMES,Corvidae,VU,Pica
Nucifraga columbiana,Clark's Nutcracker,PASSERIFORMES,Corvidae,LC,Nucifraga
Nucifraga caryocatactes,Northern Nutcracker,PASSERIFORMES,Corvidae,LC,Nucifraga
Nucifraga hemispila,Southern Nutcracker,PASSERIFORMES,Corvidae,LC,Nucifraga
Nucifraga multipunctata,Large-spotted Nutcracker,PASSERIFORMES,Corvidae,LC,Nucifraga
Corvus dauuricus,Daurian Jackdaw,PASSERIFORMES,Corvidae,LC,Corvus
Corvus monedula,Eurasian Jackdaw,PASSERIFORMES,Corvidae,LC,Corvus
Corvus nasicus,Cuban Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus jamaicensis,Jamaican Crow,PASSERIFORMES,Corvidae,NT,Corvus
Corvus leucognaphalus,White-necked Crow,PASSERIFORMES,Corvidae,VU,Corvus
Corvus capensis,Cape Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus ossifragus,Fish Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus sinaloae,Sinaloa Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus imparatus,Tamaulipas Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus palmarum,Palm Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus hawaiiensis,Hawaiian Crow,PASSERIFORMES,Corvidae,EW,Corvus
Corvus frugilegus,Rook,PASSERIFORMES,Corvidae,LC,Corvus
Corvus crassirostris,Thick-billed Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus albicollis,White-necked Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus corax,Common Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus cryptoleucus,Chihuahuan Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus ruficollis,Brown-necked Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus edithae,Somali Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus albus,Pied Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus rhipidurus,Fan-tailed Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus brachyrhynchos,American Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus caurinus,Northwestern Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus corone,Carrion Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus pectoralis,Collared Crow,PASSERIFORMES,Corvidae,VU,Corvus
Corvus florensis,Flores Crow,PASSERIFORMES,Corvidae,NT,Corvus
Corvus typicus,Piping Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus unicolor,Banggai Crow,PASSERIFORMES,Corvidae,CR,Corvus
Corvus enca,Slender-billed Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus violaceus,Violet Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus validus,Long-billed Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus moneduloides,New Caledonian Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus meeki,Bougainville Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus woodfordi,White-billed Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus fuscicapillus,Brown-headed Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus tristis,Grey Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus insularis,Bismarck Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus orru,Torresian Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus bennetti,Little Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus mellori,Little Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus tasmanicus,Forest Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus coronoides,Australian Raven,PASSERIFORMES,Corvidae,LC,Corvus
Corvus splendens,House Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus macrorhynchos,Large-billed Crow,PASSERIFORMES,Corvidae,LC,Corvus
Corvus kubaryi,Mariana Crow,PASSERIFORMES,Corvidae,CR,Corvus
Cyanolyca mirabilis,White-throated Jay,PASSERIFORMES,Corvidae,VU,Cyanolyca
Cyanolyca nanus,Dwarf Jay,PASSERIFORMES,Corvidae,NT,Cyanolyca
Cyanolyca pumilo,Black-throated Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca argentigula,Silvery-throated Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca pulchra,Beautiful Jay,PASSERIFORMES,Corvidae,NT,Cyanolyca
Cyanolyca cucullata,Azure-hooded Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca quindiuna,Quindio Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca armillata,Black-collared Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca turcosa,Turquoise Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Cyanolyca viridicyanus,White-collared Jay,PASSERIFORMES,Corvidae,LC,Cyanolyca
Gymnorhinus cyanocephalus,Pinyon Jay,PASSERIFORMES,Corvidae,VU,Gymnorhinus
Aphelocoma unicolor,Unicolored Jay,PASSERIFORMES,Corvidae,LC,Aphelocoma
Aphelocoma wollweberi,Mexican Jay,PASSERIFORMES,Corvidae,LC,Aphelocoma
Aphelocoma ultramarina,Transvolcanic Jay,PASSERIFORMES,Corvidae,LC,Aphelocoma
Aphelocoma coerulescens,Florida Scrub-jay,PASSERIFORMES,Corvidae,VU,Aphelocoma
Aphelocoma californica,Western Scrub-jay,PASSERIFORMES,Corvidae,LC,Aphelocoma
Cyanocitta cristata,Blue Jay,PASSERIFORMES,Corvidae,LC,Cyanocitta
Cyanocitta stelleri,Steller's Jay,PASSERIFORMES,Corvidae,LC,Cyanocitta
Cyanocorax violaceus,Violaceous Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax cyanomelas,Purplish Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax cristatellus,Curl-crested Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax coeruleus,Azure Jay,PASSERIFORMES,Corvidae,NT,Cyanocorax
Cyanocorax morio,Brown Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax colliei,Black-throated Magpie-jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax formosus,White-throated Magpie-jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax yncas,Green Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax mystacalis,White-tailed Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax dickeyi,Tufted Jay,PASSERIFORMES,Corvidae,NT,Cyanocorax
Cyanocorax affinis,Black-chested Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax heilprini,Azure-naped Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax hafferi,Campina Jay,PASSERIFORMES,Corvidae,NT,Cyanocorax
Cyanocorax cyanopogon,White-naped Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax chrysops,Plush-crested Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax cayanus,Cayenne Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax melanocyaneus,Bushy-crested Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax yucatanicus,Yucatan Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax sanblasianus,San Blas Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Cyanocorax beecheii,Purplish-backed Jay,PASSERIFORMES,Corvidae,LC,Cyanocorax
Melampitta lugubris,Lesser Melampitta,PASSERIFORMES,Melampittidae,LC,Melampitta
Megalampitta gigantea,Greater Melampitta,PASSERIFORMES,Melampittidae,LC,Megalampitta
Corcorax melanorhamphos,White-winged Chough,PASSERIFORMES,Corcoracidae,LC,Corcorax
Struthidea cinerea,Apostlebird,PASSERIFORMES,Corcoracidae,LC,Struthidea
Lycocorax pyrrhopterus,Halmahera Paradise-crow,PASSERIFORMES,Paradisaeidae,LC,Lycocorax
Lycocorax obiensis,Obi Paradise-crow,PASSERIFORMES,Paradisaeidae,LC,Lycocorax
Phonygammus keraudrenii,Trumpet Manucode,PASSERIFORMES,Paradisaeidae,LC,Phonygammus
Manucodia ater,Glossy-mantled Manucode,PASSERIFORMES,Paradisaeidae,LC,Manucodia
Manucodia jobiensis,Jobi Manucode,PASSERIFORMES,Paradisaeidae,LC,Manucodia
Manucodia chalybatus,Crinkle-collared Manucode,PASSERIFORMES,Paradisaeidae,LC,Manucodia
Manucodia comrii,Curl-crested Manucode,PASSERIFORMES,Paradisaeidae,LC,Manucodia
Pteridophora alberti,King of Saxony Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Pteridophora
Parotia carolae,Carola's Parotia,PASSERIFORMES,Paradisaeidae,LC,Parotia
Parotia berlepschi,Bronze Parotia,PASSERIFORMES,Paradisaeidae,LC,Parotia
Parotia sefilata,Western Parotia,PASSERIFORMES,Paradisaeidae,LC,Parotia
Parotia wahnesi,Wahnes's Parotia,PASSERIFORMES,Paradisaeidae,NT,Parotia
Parotia lawesii,Lawes's Parotia,PASSERIFORMES,Paradisaeidae,LC,Parotia
Seleucidis melanoleucus,Twelve-wired Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Seleucidis
Drepanornis albertisi,Black-billed Sicklebill,PASSERIFORMES,Paradisaeidae,LC,Drepanornis
Drepanornis bruijnii,Pale-billed Sicklebill,PASSERIFORMES,Paradisaeidae,LC,Drepanornis
Semioptera wallacii,Standardwing Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Semioptera
Lophorina paradisea,Paradise Riflebird,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Lophorina victoriae,Victoria's Riflebird,PASSERIFORMES,Paradisaeidae,VU,Lophorina
Lophorina superba,Western Superb Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Lophorina latipennis,Central Superb Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Lophorina minor,Eastern Superb Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Lophorina magnifica,Magnificent Riflebird,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Lophorina intercedens,Growling Riflebird,PASSERIFORMES,Paradisaeidae,LC,Lophorina
Epimachus fastosus,Black Sicklebill,PASSERIFORMES,Paradisaeidae,LC,Epimachus
Epimachus meyeri,Brown Sicklebill,PASSERIFORMES,Paradisaeidae,LC,Epimachus
Paradigalla carunculata,Long-tailed Paradigalla,PASSERIFORMES,Paradisaeidae,NT,Paradigalla
Paradigalla brevicauda,Short-tailed Paradigalla,PASSERIFORMES,Paradisaeidae,LC,Paradigalla
Astrapia nigra,Arfak Astrapia,PASSERIFORMES,Paradisaeidae,LC,Astrapia
Astrapia splendidissima,Splendid Astrapia,PASSERIFORMES,Paradisaeidae,LC,Astrapia
Astrapia rothschildi,Huon Astrapia,PASSERIFORMES,Paradisaeidae,LC,Astrapia
Astrapia stephaniae,Stephanie's Astrapia,PASSERIFORMES,Paradisaeidae,LC,Astrapia
Astrapia mayeri,Ribbon-tailed Astrapia,PASSERIFORMES,Paradisaeidae,LC,Astrapia
Cicinnurus regius,King Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Cicinnurus
Cicinnurus magnificus,Magnificent Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Cicinnurus
Cicinnurus respublica,Wilson's Bird-of-paradise,PASSERIFORMES,Paradisaeidae,NT,Cicinnurus
Paradisornis rudolphi,Blue Bird-of-paradise,PASSERIFORMES,Paradisaeidae,NT,Paradisornis
Paradisaea guilielmi,Emperor Bird-of-paradise,PASSERIFORMES,Paradisaeidae,NT,Paradisaea
Paradisaea rubra,Red Bird-of-paradise,PASSERIFORMES,Paradisaeidae,NT,Paradisaea
Paradisaea decora,Goldie's Bird-of-paradise,PASSERIFORMES,Paradisaeidae,VU,Paradisaea
Paradisaea minor,Lesser Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Paradisaea
Paradisaea apoda,Greater Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Paradisaea
Paradisaea raggiana,Raggiana Bird-of-paradise,PASSERIFORMES,Paradisaeidae,LC,Paradisaea
Callaeas wilsoni,North Island Kokako,PASSERIFORMES,Callaeidae,LC,Callaeas
Callaeas cinereus,South Island Kokako,PASSERIFORMES,Callaeidae,CR (PE),Callaeas
Philesturnus rufusater,North Island Saddleback,PASSERIFORMES,Callaeidae,NT,Philesturnus
Philesturnus carunculatus,South Island Saddleback,PASSERIFORMES,Callaeidae,LC,Philesturnus
Heteralocha acutirostris,Huia,PASSERIFORMES,Callaeidae,EX,Heteralocha
