scientific_name,ibp_common_name,ibp_alpha_code_4,ibp_alpha_code_6,genus
Poecilostreptus palmeri,Gray-and-gold Tanager,GAGT,POEPAL,Poecilostreptus
Poecilostreptus cabanisi,Azure-rumped Tanager,ARTA,POECAB,Poecilostreptus
Thraupis episcopus,Blue-gray Tanager,BGTA,THREPI,Thraupis
Thraupis abbas,Yellow-winged Tanager,YWTA,THRABB,Thraupis
Thraupis palmarum,Palm Tanager,PATA,THRPAL,Thraupis
Stilpnia larvata,Golden-hooded Tanager,GHOT,STILAR,Stilpnia
Stilpnia cucullata,Lesser Antillean Tanager,LATA,STICUC,Stilpnia
Tangara fucosa,Green-naped Tanager,GNTA,TANFUC,Tangara
Tangara dowii,Spangle-cheeked Tanager,SCHT,TANDOW,Tangara
Tangara inornata,Plain-colored Tanager,PCTA,TANINO,Tangara
Tangara lavinia,Rufous-winged Tanager,RWTA,TANLAV,Tangara
Tangara gyrola,Bay-headed Tanager,BHTA,TANGYR,Tangara
Tangara florida,Emerald Tanager,EMTA,TANFLO,Tangara
Tangara icterocephala,Silver-throated Tanager,STTA,TANICT,Tangara
Conirostrum leucogenys,White-eared Conebill,WECO,CONLEU,Conirostrum
Sicalis flaveola,Saffron Finch,SAFI,SICFLA,Sicalis
Sicalis luteola,Grassland Yellow-Finch,GRYF,SICLUT,Sicalis
Haplospiza rustica,Slaty Finch,SLFI,HAPRUS,Haplospiza
Acanthidops bairdi,Peg-billed Finch,PBFI,ACABAI,Acanthidops
Diglossa baritula,Cinnamon-bellied Flowerpiercer,CBFL,DIGBAR,Diglossa
Diglossa plumbea,Slaty Flowerpiercer,SLFL,DIGPLU,Diglossa
Chlorophanes spiza,Green Honeycreeper,GRHO,CHLSPI,Chlorophanes
Chrysothlypis chrysomelas,Black-and-yellow Tanager,BAYT,CHRCHR,Chrysothlypis
Heterospingus rubrifrons,Sulphur-rumped Tanager,SURT,HETRUB,Heterospingus
Heterospingus xanthopygius,Scarlet-browed Tanager,SBTA,HETXAN,Heterospingus
Hemithraupis flavicollis,Yellow-backed Tanager,YBTA,HEMFLA,Hemithraupis
Volatinia jacarina,Blue-black Grassquit,BGRA,VOLJAC,Volatinia
Eucometis penicillata,Gray-headed Tanager,GHET,EUCPEN,Eucometis
Loriotus luctuosus,White-shouldered Tanager,WSTA,LORLUC,Loriotus
Tachyphonus delatrii,Tawny-crested Tanager,TCTA,TACDEL,Tachyphonus
Tachyphonus rufus,White-lined Tanager,WLTA,TACRUF,Tachyphonus
Lanio aurantius,Black-throated Shrike-Tanager,BTST,LANAUR,Lanio
Lanio leucothorax,White-throated Shrike-Tanager,WTST,LANLEU,Lanio
Ramphocelus sanguinolentus,Crimson-collared Tanager,CCTA,RAMSAG,Ramphocelus
Ramphocelus flammigerus,Flame-rumped Tanager,FRTA,RAMFLG,Ramphocelus
Ramphocelus passerinii,Scarlet-rumped Tanager,SCRT,RAMPAS,Ramphocelus
Ramphocelus dimidiatus,Crimson-backed Tanager,CBTA,RAMDIM,Ramphocelus
Tersina viridis,Swallow Tanager,SWTA,TERVIR,Tersina
Cyanerpes lucidus,Shining Honeycreeper,SHHO,CYALUC,Cyanerpes
Cyanerpes caeruleus,Purple Honeycreeper,PUHO,CYACAE,Cyanerpes
Cyanerpes cyaneus,Red-legged Honeycreeper,RLHO,CYACYU,Cyanerpes
Dacnis venusta,Scarlet-thighed Dacnis,STDA,DACVEN,Dacnis
Dacnis cayana,Blue Dacnis,BLDA,DACCAY,Dacnis
Dacnis viguieri,Viridian Dacnis,VIDA,DACVIG,Dacnis
Coereba flaveola,Bananaquit,BANA,COEFLA,Coereba
Tiaris olivaceus,Yellow-faced Grassquit,YFGR,TIAOLI,Tiaris
Euneornis campestris,Orangequit,ORAN,EUNCAM,Euneornis
Melopyrrha portoricensis,Puerto Rican Bullfinch,PRBU,MEPPOR,Melopyrrha
Melopyrrha grandis,St. Kitts Bullfinch,SKBU,MELGRA,Melopyrrha
Melopyrrha nigra,Cuban Bullfinch,CUBU,MEPNIG,Melopyrrha
Melopyrrha taylori,Grand Cayman Bullfinch,GCBU,MELTAY,Melopyrrha
Melopyrrha violacea,Greater Antillean Bullfinch,GABU,MELVIO,Melopyrrha
Loxipasser anoxanthus,Yellow-shouldered Grassquit,YSGR,LOXANO,Loxipasser
Phonipara canora,Cuban Grassquit,CUGR,PHOCAN,Phonipara
Loxigilla noctis,Lesser Antillean Bullfinch,LANB,LOXNOC,Loxigilla
Loxigilla barbadensis,Barbados Bullfinch,BABU,LOXBAD,Loxigilla
Melanospiza bicolor,Black-faced Grassquit,BFGR,MELBIC,Melanospiza
Melanospiza richardsoni,St. Lucia Black Finch,SLBF,MELRIC,Melanospiza
Pinaroloxias inornata,Cocos Finch,COFI,PININO,Pinaroloxias
Sporophila bouvronides,Lesson's Seedeater,LESE,SPOBOU,Sporophila
Sporophila lineola,Lined Seedeater,LISE,SPOLIN,Sporophila
Sporophila funerea,Thick-billed Seed-Finch,TBSF,SPOFUN,Sporophila
Sporophila crassirostris,Large-billed Seed-Finch,LBSF,SPOCRA,Sporophila
Sporophila nuttingi,Nicaraguan Seed-Finch,NISF,SPONUT,Sporophila
Sporophila corvina,Variable Seedeater,VASE,SPOCOR,Sporophila
Sporophila schistacea,Slate-colored Seedeater,SCSE,SPOSCH,Sporophila
Sporophila torqueola,Cinnamon-rumped Seedeater,CRSE,SPOTOR,Sporophila
Sporophila morelleti,Morelet's Seedeater,MOSE,SPOMOR,Sporophila
Sporophila nigricollis,Yellow-bellied Seedeater,YBSE,SPONIG,Sporophila
Sporophila minuta,Ruddy-breasted Seedeater,RBSE,SPOMIN,Sporophila
Emberizoides herbicola,Wedge-tailed Grass-Finch,WTGF,EMBHER,Emberizoides
Saltator atriceps,Black-headed Saltator,BHSA,SALATR,Saltator
Saltator maximus,Buff-throated Saltator,BTSA,SALMAX,Saltator
Saltator grossus,Slate-colored Grosbeak,SCOG,SALGRO,Saltator
Saltator albicollis,Lesser Antillean Saltator,LASA,SALALB,Saltator
Saltator grandis,Cinnamon-bellied Saltator,CIBS,SALGRA,Saltator
Saltator striatipectus,Streaked Saltator,SSAL,SALSTR,Saltator
"Aves (gen, sp)",Unidentified Bird,UNBI,AVEGSP,Aves
Pardirallus maculatus,Spotted Rail,SPRA,PARMAS,Pardirallus
Mustelirallus cerverai,Zapata Rail,ZARA,MUSCER,Mustelirallus
Mustelirallus colombianus,Colombian Crake,COLC,MUSCOL,Mustelirallus
Mustelirallus erythrops,Paint-billed Crake,PBCR,MUSERY,Mustelirallus
